Contiguous U.S., Heating Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,19,10
189607,7,-2
189707,10,1
189807,9,0
189907,10,1
190007,10,1
190107,7,-2
190207,15,6
190307,17,8
190407,15,6
190507,11,2
190607,9,0
190707,12,3
190807,7,-2
190907,17,8
191007,7,-2
191107,8,-1
191207,14,5
191307,11,2
191407,11,2
191507,17,8
191607,10,1
191707,7,-2
191807,13,4
191907,6,-3
192007,14,5
192107,7,-2
192207,11,2
192307,10,1
192407,16,7
192507,10,1
192607,9,0
192707,11,2
192807,9,0
192907,9,0
193007,8,-1
193107,4,-5
193207,12,3
193307,7,-2
193407,6,-3
193507,7,-2
193607,5,-4
193707,6,-3
193807,7,-2
193907,7,-2
194007,8,-1
194107,5,-4
194207,7,-2
194307,7,-2
194407,11,2
194507,10,1
194607,8,-1
194707,12,3
194807,10,1
194907,8,-1
195007,14,5
195107,9,0
195207,6,-3
195307,7,-2
195407,10,1
195507,10,1
195607,13,4
195707,9,0
195807,10,1
195907,7,-2
196007,10,1
196107,7,-2
196207,17,8
196307,11,2
196407,7,-2
196507,13,4
196607,8,-1
196707,10,1
196807,8,-1
196907,10,1
197007,6,-3
197107,12,3
197207,10,1
197307,8,-1
197407,8,-1
197507,7,-2
197607,10,1
197707,8,-1
197807,9,0
197907,9,0
198007,7,-2
198107,8,-1
198207,10,1
198307,8,-1
198407,9,0
198507,6,-3
198607,12,3
198707,10,1
198807,4,-5
198907,7,-2
199007,7,-2
199107,7,-2
199207,17,8
199307,15,6
199407,7,-2
199507,6,-3
199607,10,1
199707,10,1
199807,5,-4
199907,7,-2
200007,13,4
200107,10,1
200207,3,-6
200307,5,-4
200407,9,0
200507,4,-5
200607,3,-6
200707,6,-3
200807,6,-3
200907,15,6
201007,6,-3
201107,6,-3
201207,4,-5
201307,5,-4
201407,10,1
201507,6,-3
