Contiguous U.S., Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,.1,-0.33
189612,1.11,0.68
189712,-2.06,-2.49
189812,1.67,1.24
189912,-1.33,-1.76
190012,-.43,-0.86
190112,-2.74,-3.17
190212,1.71,1.28
190312,-1.06,-1.49
190412,-2.19,-2.62
190512,2.83,2.40
190612,4.92,4.49
190712,3.89,3.46
190812,1.55,1.12
190912,1.68,1.25
191012,-4.36,-4.79
191112,1.41,0.98
191212,1.9,1.47
191312,.89,0.46
191412,-1.03,-1.46
191512,3.96,3.53
191612,-.67,-1.10
191712,-3.44,-3.87
191812,.9,0.47
191912,3.42,2.99
192012,3.44,3.01
192112,-1.76,-2.19
192212,-2.37,-2.80
192312,2.65,2.22
192412,-1.99,-2.42
192512,1.18,0.75
192612,2.51,2.08
192712,3.21,2.78
192812,2.45,2.02
192912,.55,0.12
193012,-3.3,-3.73
193112,.29,-0.14
193212,.79,0.36
193312,-4.11,-4.54
193412,-6.48,-6.91
193512,-2.25,-2.68
193612,-5.25,-5.68
193712,.26,-0.17
193812,-2.29,-2.72
193912,-5.85,-6.28
194012,.75,0.32
194112,3.83,3.40
194212,3.34,2.91
194312,-2.75,-3.18
194412,-.81,-1.24
194512,3.37,2.94
194612,2.92,2.49
194712,1.15,0.72
194812,1.19,0.76
194912,-1.34,-1.77
195012,1.46,1.03
195112,2.69,2.26
195212,-4.08,-4.51
195312,-4.17,-4.60
195412,-5.14,-5.57
195512,-3.37,-3.80
195612,-5.64,-6.07
195712,3.98,3.55
195812,-1.54,-1.97
195912,1.91,1.48
196012,-1.05,-1.48
196112,1.83,1.40
196212,-1.14,-1.57
196312,-4.41,-4.84
196412,.54,0.11
196512,-1.06,-1.49
196612,-2.42,-2.85
196712,2.04,1.61
196812,2.78,2.35
196912,2.01,1.58
197012,1.3,0.87
197112,2.01,1.58
197212,4.52,4.09
197312,5.16,4.73
197412,2.1,1.67
197512,3.56,3.13
197612,-1.42,-1.85
197712,1.91,1.48
197812,.21,-0.22
197912,2.05,1.62
198012,-3.11,-3.54
198112,2.25,1.82
198212,5.16,4.73
198312,5.32,4.89
198412,4.81,4.38
198512,3.33,2.90
198612,3.62,3.19
198712,-1.77,-2.20
198812,-4.02,-4.45
198912,-1.52,-1.95
199012,.48,0.05
199112,1.39,0.96
199212,3.3,2.87
199312,4.1,3.67
199412,1.75,1.32
199512,2.57,2.14
199612,5.06,4.63
199712,3.38,2.95
199812,.53,0.10
199912,-3.31,-3.74
200012,-3.51,-3.94
200112,-2.97,-3.40
200212,1.17,0.74
200312,-.5,-0.93
200412,4.48,4.05
200512,-1.13,-1.56
200612,-1.19,-1.62
200712,-2.34,-2.77
200812,-.05,-0.48
200912,4.16,3.73
201012,1.71,1.28
201112,-1.88,-2.31
201212,-5.27,-5.70
201312,1.44,1.01
201412,1.41,0.98
201512,3.52,3.09
