Maine, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.15,-1.75
189612,-1,-0.60
189712,1.39,1.79
189812,.53,0.93
189912,-2.13,-1.73
190012,-.98,-0.58
190112,1.49,1.89
190212,1.98,2.38
190312,-3.01,-2.61
190412,-1.56,-1.16
190512,-2.26,-1.86
190612,-.79,-0.39
190712,2.63,3.03
190812,-3.19,-2.79
190912,-.77,-0.37
191012,-2.29,-1.89
191112,-2.88,-2.48
191212,1.5,1.90
191312,-.88,-0.48
191412,-2.9,-2.50
191512,-1.14,-0.74
191612,.46,0.86
191712,-1.25,-0.85
191812,-.34,0.06
191912,-1.44,-1.04
192012,1.97,2.37
192112,-3.27,-2.87
192212,-2.14,-1.74
192312,-2.06,-1.66
192412,-2.73,-2.33
192512,-.42,-0.02
192612,-.41,-0.01
192712,3.12,3.52
192812,-.61,-0.21
192912,-2.54,-2.14
193012,-3.05,-2.65
193112,-1.44,-1.04
193212,-.83,-0.43
193312,-.35,0.05
193412,-.5,-0.10
193512,-1.71,-1.31
193612,.8,1.20
193712,-.51,-0.11
193812,-.43,-0.03
193912,-1.82,-1.42
194012,-.15,0.25
194112,-3,-2.60
194212,-1.68,-1.28
194312,-1.07,-0.67
194412,.69,1.09
194512,-.17,0.23
194612,.13,0.53
194712,-3.55,-3.15
194812,-2.9,-2.50
194912,-3.97,-3.57
195012,2.08,2.48
195112,3.26,3.66
195212,.38,0.78
195312,.28,0.68
195412,5.62,6.02
195512,-3.69,-3.29
195612,-1.54,-1.14
195712,.91,1.31
195812,-.98,-0.58
195912,1.74,2.14
196012,-.55,-0.15
196112,-.83,-0.43
196212,2.62,3.02
196312,-.8,-0.40
196412,-2.16,-1.76
196512,-3.57,-3.17
196612,-1.73,-1.33
196712,.49,0.89
196812,1.05,1.45
196912,3.74,4.14
197012,-.87,-0.47
197112,-2.2,-1.80
197212,3.02,3.42
197312,4.56,4.96
197412,-.59,-0.19
197512,.83,1.23
197612,2.9,3.30
197712,3.2,3.60
197812,-3.41,-3.01
197912,-.68,-0.28
198012,-1.11,-0.71
198112,3.31,3.71
198212,-1.76,-1.36
198312,2.97,3.37
198412,-2.79,-2.39
198512,-.73,-0.33
198612,-.72,-0.32
198712,-1.28,-0.88
198812,-.98,-0.58
198912,-.74,-0.34
199012,3.28,3.68
199112,-.81,-0.41
199212,-1.38,-0.98
199312,1.03,1.43
199412,-1.51,-1.11
199512,1.36,1.76
199612,3.12,3.52
199712,-1.36,-0.96
199812,-1.52,-1.12
199912,1.25,1.65
200012,-1.37,-0.97
200112,-5.8,-5.40
200212,-2.46,-2.06
200312,2.59,2.99
200412,-.04,0.36
200512,5.85,6.25
200612,4.23,4.63
200712,2.74,3.14
200812,5.11,5.51
200912,3.85,4.25
201012,2.62,3.02
201112,-.87,-0.47
201212,-.42,-0.02
201312,2.04,2.44
201412,2.74,3.14
201512,1.37,1.77
