South Carolina, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.09,-2.20
189612,-1.79,-1.90
189712,-1.41,-1.52
189812,2.34,2.23
189912,-1.86,-1.97
190012,.62,0.51
190112,2.73,2.62
190212,.93,0.82
190312,-.82,-0.93
190412,-1.4,-1.51
190512,.93,0.82
190612,-.38,-0.49
190712,2.48,2.37
190812,2.34,2.23
190912,-.73,-0.84
191012,-.38,-0.49
191112,1.2,1.09
191212,1.65,1.54
191312,.81,0.70
191412,.98,0.87
191512,.54,0.43
191612,-1.82,-1.93
191712,-1.1,-1.21
191812,.8,0.69
191912,-2.35,-2.46
192012,1.38,1.27
192112,-1.83,-1.94
192212,2.25,2.14
192312,-1.08,-1.19
192412,3.17,3.06
192512,-3.98,-4.09
192612,-3.44,-3.55
192712,-2.41,-2.52
192812,3.4,3.29
192912,4.78,4.67
193012,-1.43,-1.54
193112,-3.96,-4.07
193212,2.3,2.19
193312,-3.87,-3.98
193412,-2.23,-2.34
193512,.69,0.58
193612,.89,0.78
193712,-.11,-0.22
193812,-1.37,-1.48
193912,-2.21,-2.32
194012,-1.34,-1.45
194112,.84,0.73
194212,-1.14,-1.25
194312,-1.72,-1.83
194412,-2.62,-2.73
194512,3.15,3.04
194612,-.74,-0.85
194712,3.45,3.34
194812,4.06,3.95
194912,-.44,-0.55
195012,-.6,-0.71
195112,-2.49,-2.60
195212,-1.46,-1.57
195312,-1.21,-1.32
195412,-4.71,-4.82
195512,-2.68,-2.79
195612,-2.85,-2.96
195712,1.75,1.64
195812,-1.74,-1.85
195912,3.47,3.36
196012,-1.1,-1.21
196112,.14,0.03
196212,.27,0.16
196312,.55,0.44
196412,5.12,5.01
196512,1.38,1.27
196612,-.72,-0.83
196712,1.85,1.74
196812,1.16,1.05
196912,1.96,1.85
197012,-.47,-0.58
197112,2.89,2.78
197212,2.05,1.94
197312,-.94,-1.05
197412,1.23,1.12
197512,2.72,2.61
197612,3.69,3.58
197712,.39,0.28
197812,-2.46,-2.57
197912,2.25,2.14
198012,-2.21,-2.32
198112,.84,0.73
198212,.95,0.84
198312,1.46,1.35
198412,-2.52,-2.63
198512,-.29,-0.40
198612,1.09,0.98
198712,-1.4,-1.51
198812,-1.79,-1.90
198912,3.06,2.95
199012,1.7,1.59
199112,-1.57,-1.68
199212,3.17,3.06
199312,-2.61,-2.72
199412,3.57,3.46
199512,-.22,-0.33
199612,.56,0.45
199712,2.95,2.84
199812,-2.83,-2.94
199912,-1.57,-1.68
200012,-2.02,-2.13
200112,-4.86,-4.97
200212,1.55,1.44
200312,-.64,-0.75
200412,-.5,-0.61
200512,.65,0.54
200612,.91,0.80
200712,-4.05,-4.16
200812,-.13,-0.24
200912,2.74,2.63
201012,-3.37,-3.48
201112,-4.68,-4.79
201212,-.68,-0.79
201312,.78,0.67
201412,.77,0.66
201512,4.64,4.53
