Maryland, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.71,-2.53
189612,-3.25,-3.07
189712,1.47,1.65
189812,.78,0.96
189912,-.99,-0.81
190012,-2.82,-2.64
190112,1.38,1.56
190212,2.41,2.59
190312,-.38,-0.20
190412,-.54,-0.36
190512,1.57,1.75
190612,2.37,2.55
190712,3.66,3.84
190812,-1.4,-1.22
190912,-2.28,-2.10
191012,-1.63,-1.45
191112,1.94,2.12
191212,-.43,-0.25
191312,-1.65,-1.47
191412,.15,0.33
191512,-.2,-0.02
191612,-1.1,-0.92
191712,-.92,-0.74
191812,-2.54,-2.36
191912,1.68,1.86
192012,-.12,0.06
192112,-2.6,-2.42
192212,-1.86,-1.68
192312,-1.68,-1.50
192412,-1.2,-1.02
192512,-2.12,-1.94
192612,2.28,2.46
192712,.89,1.07
192812,-1.47,-1.29
192912,-.29,-0.11
193012,-6.72,-6.54
193112,-3.59,-3.41
193212,1.96,2.14
193312,-.73,-0.55
193412,1.24,1.42
193512,2.42,2.60
193612,.48,0.66
193712,-.6,-0.42
193812,1.31,1.49
193912,-.9,-0.72
194012,-.38,-0.20
194112,-3.63,-3.45
194212,2.37,2.55
194312,-.65,-0.47
194412,.7,0.88
194512,3.62,3.80
194612,-1.34,-1.16
194712,.15,0.33
194812,3.75,3.93
194912,-1.79,-1.61
195012,1.25,1.43
195112,1.17,1.35
195212,1.67,1.85
195312,-2.31,-2.13
195412,-3.05,-2.87
195512,-1.01,-0.83
195612,.04,0.22
195712,.99,1.17
195812,-.47,-0.29
195912,.52,0.70
196012,1,1.18
196112,.06,0.24
196212,-1.43,-1.25
196312,.35,0.53
196412,-3.4,-3.22
196512,-5.41,-5.23
196612,-.09,0.09
196712,.88,1.06
196812,-1.81,-1.63
196912,1.84,2.02
197012,.24,0.42
197112,2,2.18
197212,4.41,4.59
197312,.62,0.80
197412,.54,0.72
197512,3.26,3.44
197612,-.54,-0.36
197712,1.99,2.17
197812,.31,0.49
197912,-.61,-0.43
198012,-2.15,-1.97
198112,-1.85,-1.67
198212,-1.55,-1.37
198312,2.23,2.41
198412,-1.44,-1.26
198512,-.63,-0.45
198612,-2.06,-1.88
198712,-1.95,-1.77
198812,-2.48,-2.30
198912,-.47,-0.29
199012,.92,1.10
199112,-3.76,-3.58
199212,1.52,1.70
199312,.68,0.86
199412,-1.9,-1.72
199512,1.18,1.36
199612,5.4,5.58
199712,.59,0.77
199812,-4.73,-4.55
199912,1.33,1.51
200012,-1.09,-0.91
200112,-3.26,-3.08
200212,1.91,2.09
200312,5.71,5.89
200412,2.95,3.13
200512,1.47,1.65
200612,-.53,-0.35
200712,-3.34,-3.16
200812,-.81,-0.63
200912,4.21,4.39
201012,-1.81,-1.63
201112,2.69,2.87
201212,-.28,-0.10
201312,1.9,2.08
201412,-.46,-0.28
201512,0,0.18
