Illinois, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.25,-1.28
189612,1.26,1.23
189712,-3.29,-3.32
189812,2.62,2.59
189912,-2.38,-2.41
190012,-1.23,-1.26
190112,-5.14,-5.17
190212,3.55,3.52
190312,.7,0.67
190412,-1.4,-1.43
190512,1.26,1.23
190612,.53,0.50
190712,2.66,2.63
190812,-3.64,-3.67
190912,1.87,1.84
191012,-1.38,-1.41
191112,2.39,2.36
191212,-.75,-0.78
191312,-2.92,-2.95
191412,-4.9,-4.93
191512,3.33,3.30
191612,-1.65,-1.68
191712,-1.39,-1.42
191812,.87,0.84
191912,-.4,-0.43
192012,-3.03,-3.06
192112,1.67,1.64
192212,-3.54,-3.57
192312,1.19,1.16
192412,-.52,-0.55
192512,.89,0.86
192612,3.57,3.54
192712,4.83,4.80
192812,2.64,2.61
192912,2.34,2.31
193012,-5.02,-5.05
193112,-2.15,-2.18
193212,1.33,1.30
193312,-4.04,-4.07
193412,1.1,1.07
193512,-.47,-0.50
193612,.49,0.46
193712,-1.04,-1.07
193812,-1.34,-1.37
193912,-3.04,-3.07
194012,-4.35,-4.38
194112,2.52,2.49
194212,2.65,2.62
194312,-2.43,-2.46
194412,-3.68,-3.71
194512,2.77,2.74
194612,1.74,1.71
194712,-1.86,-1.89
194812,.08,0.05
194912,.77,0.74
195012,1.29,1.26
195112,3.38,3.35
195212,-1.95,-1.98
195312,-5.59,-5.62
195412,-3.09,-3.12
195512,-2.13,-2.16
195612,-3.29,-3.32
195712,2.43,2.40
195812,-.52,-0.55
195912,.74,0.71
196012,-1.77,-1.80
196112,3.33,3.30
196212,-1.84,-1.87
196312,-4.76,-4.79
196412,-4.9,-4.93
196512,1.89,1.86
196612,.31,0.28
196712,3.04,3.01
196812,.68,0.65
196912,2.3,2.27
197012,2.89,2.86
197112,.67,0.64
197212,3.07,3.04
197312,3.64,3.61
197412,1.74,1.71
197512,-.32,-0.35
197612,-2.68,-2.71
197712,2.86,2.83
197812,.27,0.24
197912,-1.35,-1.38
198012,-.81,-0.84
198112,2.94,2.91
198212,4.81,4.78
198312,2.28,2.25
198412,2.1,2.07
198512,3.77,3.74
198612,-.03,-0.06
198712,.89,0.86
198812,-3.16,-3.19
198912,-1.94,-1.97
199012,4.03,4.00
199112,-.57,-0.60
199212,2.5,2.47
199312,-.08,-0.11
199412,.38,0.35
199512,-1.64,-1.67
199612,.81,0.78
199712,-1.23,-1.26
199812,.84,0.81
199912,-2.77,-2.80
200012,1.57,1.54
200112,1.9,1.87
200212,-1.89,-1.92
200312,1.64,1.61
200412,1.89,1.86
200512,-4.02,-4.05
200612,1.61,1.58
200712,.18,0.15
200812,4.43,4.40
200912,6.33,6.30
201012,2.16,2.13
201112,.92,0.89
201212,-3.14,-3.17
201312,-1.25,-1.28
201412,2.77,2.74
201512,4.57,4.54
