Iowa, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.3,-1.61
189612,2.71,2.40
189712,-3.82,-4.13
189812,-.31,-0.62
189912,-2.03,-2.34
190012,2.01,1.70
190112,-3.77,-4.08
190212,5.17,4.86
190312,3.48,3.17
190412,-1.16,-1.47
190512,1.85,1.54
190612,.5,0.19
190712,1.78,1.47
190812,1.6,1.29
190912,3.79,3.48
191012,-5.1,-5.41
191112,1.3,0.99
191212,-.63,-0.94
191312,-2.61,-2.92
191412,1.15,0.84
191512,3.33,3.02
191612,-1.88,-2.19
191712,-2.46,-2.77
191812,.74,0.43
191912,2.02,1.71
192012,-.52,-0.83
192112,-.34,-0.65
192212,-1.44,-1.75
192312,-.56,-0.87
192412,-.43,-0.74
192512,1.01,0.70
192612,2.4,2.09
192712,-1.52,-1.83
192812,3.33,3.02
192912,-1.09,-1.40
193012,-2.84,-3.15
193112,2.93,2.62
193212,1.78,1.47
193312,-4.01,-4.32
193412,-.39,-0.70
193512,.56,0.25
193612,-3.63,-3.94
193712,-3.43,-3.74
193812,1.03,0.72
193912,-4.01,-4.32
194012,-1.88,-2.19
194112,3.11,2.80
194212,2.11,1.80
194312,1.13,0.82
194412,1.82,1.51
194512,1.37,1.06
194612,1.74,1.43
194712,-2.4,-2.71
194812,.2,-0.11
194912,-2.58,-2.89
195012,-1.74,-2.05
195112,4.06,3.75
195212,-1.17,-1.48
195312,-3.76,-4.07
195412,-.56,-0.87
195512,-4.72,-5.03
195612,-6.37,-6.68
195712,1.03,0.72
195812,-1.48,-1.79
195912,2.23,1.92
196012,1.31,1.00
196112,3.56,3.25
196212,-.66,-0.97
196312,-2.98,-3.29
196412,.09,-0.22
196512,3.13,2.82
196612,-2.39,-2.70
196712,-.84,-1.15
196812,2.19,1.88
196912,-.02,-0.33
197012,2.02,1.71
197112,.91,0.60
197212,3.65,3.34
197312,4.64,4.33
197412,1.47,1.16
197512,-1.81,-2.12
197612,-4.45,-4.76
197712,2.79,2.48
197812,2.61,2.30
197912,2.57,2.26
198012,-.46,-0.77
198112,1.88,1.57
198212,5.37,5.06
198312,3.07,2.76
198412,2.94,2.63
198512,1.6,1.29
198612,.02,-0.29
198712,1.75,1.44
198812,-4.62,-4.93
198912,-4.45,-4.76
199012,1.95,1.64
199112,2.07,1.76
199212,4.01,3.70
199312,6.45,6.14
199412,1.96,1.65
199512,-1.43,-1.74
199612,1.79,1.48
199712,-.76,-1.07
199812,1.87,1.56
199912,-2.05,-2.36
200012,.26,-0.05
200112,-.98,-1.29
200212,-.92,-1.23
200312,.39,0.08
200412,1.07,0.76
200512,-1.71,-2.02
200612,.91,0.60
200712,3.84,3.53
200812,5.1,4.79
200912,5.47,5.16
201012,5.02,4.71
201112,-1.57,-1.88
201212,-4.34,-4.65
201312,-2.63,-2.94
201412,3.19,2.88
201512,6.06,5.75
