New Mexico, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.06,-0.25
189612,1.88,1.69
189712,3.15,2.96
189812,-.56,-0.75
189912,-.9,-1.09
190012,-.73,-0.92
190112,-1.18,-1.37
190212,.4,0.21
190312,-3.02,-3.21
190412,1.79,1.60
190512,6.7,6.51
190612,5.82,5.63
190712,3.67,3.48
190812,-.97,-1.16
190912,-1.46,-1.65
191012,-4.37,-4.56
191112,1.67,1.48
191212,.69,0.50
191312,1.49,1.30
191412,3.6,3.41
191512,4.11,3.92
191612,-.37,-0.56
191712,-3.54,-3.73
191812,1.85,1.66
191912,5.26,5.07
192012,-.77,-0.96
192112,-2.27,-2.46
192212,-3.84,-4.03
192312,3.73,3.54
192412,-2.08,-2.27
192512,-.48,-0.67
192612,.76,0.57
192712,-1.3,-1.49
192812,.63,0.44
192912,-.55,-0.74
193012,.45,0.26
193112,3.11,2.92
193212,.4,0.21
193312,-1.22,-1.41
193412,-4.25,-4.44
193512,.69,0.50
193612,-.62,-0.81
193712,-1.63,-1.82
193812,-.46,-0.65
193912,-1.23,-1.42
194012,1.07,0.88
194112,10.6,10.41
194212,-.28,-0.47
194312,.71,0.52
194412,.9,0.71
194512,-2.47,-2.66
194612,-1.75,-1.94
194712,.45,0.26
194812,-1.59,-1.78
194912,-.94,-1.13
195012,-3.33,-3.52
195112,-3.69,-3.88
195212,-2.37,-2.56
195312,-3.44,-3.63
195412,-4.01,-4.20
195512,-3.45,-3.64
195612,-5.94,-6.13
195712,1.33,1.14
195812,-.74,-0.93
195912,.57,0.38
196012,1.54,1.35
196112,1.24,1.05
196212,-.1,-0.29
196312,-2.34,-2.53
196412,-2.92,-3.11
196512,.84,0.65
196612,-1.51,-1.70
196712,.65,0.46
196812,-1,-1.19
196912,.13,-0.06
197012,-1.83,-2.02
197112,1.63,1.44
197212,3.49,3.30
197312,-2.26,-2.45
197412,2.61,2.42
197512,-.82,-1.01
197612,-1.79,-1.98
197712,-2,-2.19
197812,2.25,2.06
197912,2.32,2.13
198012,-2.02,-2.21
198112,-1.04,-1.23
198212,1.28,1.09
198312,1.79,1.60
198412,3.67,3.48
198512,4.74,4.55
198612,5.82,5.63
198712,4.56,4.37
198812,-.93,-1.12
198912,-2.79,-2.98
199012,1.65,1.46
199112,4.61,4.42
199212,3.85,3.66
199312,-.84,-1.03
199412,1.1,0.91
199512,-2.18,-2.37
199612,.47,0.28
199712,2.46,2.27
199812,-.31,-0.50
199912,-1.76,-1.95
200012,2.15,1.96
200112,-1.79,-1.98
200212,-1.91,-2.10
200312,-4.42,-4.61
200412,1.69,1.50
200512,-1.67,-1.86
200612,2.2,2.01
200712,-.87,-1.06
200812,-.47,-0.66
200912,.28,0.09
201012,-1.56,-1.75
201112,-3.29,-3.48
201212,-5.31,-5.50
201312,-2.06,-2.25
201412,.2,0.01
201512,2.18,1.99
