South Dakota, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,1.59,0.55
189611,3.74,2.70
189711,-.61,-1.65
189811,-1.36,-2.40
189911,-.85,-1.89
190011,-.46,-1.50
190111,1.28,0.24
190211,1.12,0.08
190311,2.7,1.66
190411,-.9,-1.94
190511,5.76,4.72
190611,6.8,5.76
190711,4.76,3.72
190811,5.32,4.28
190911,4.96,3.92
191011,-2.78,-3.82
191111,1.7,0.66
191211,-1.07,-2.11
191311,-1.79,-2.83
191411,-.68,-1.72
191511,7.04,6.00
191611,5.65,4.61
191711,2.02,0.98
191811,1.36,0.32
191911,2.73,1.69
192011,4.71,3.67
192111,1.56,0.52
192211,1.84,0.80
192311,3.48,2.44
192411,2.1,1.06
192511,-1.99,-3.03
192611,.56,-0.48
192711,3.04,2.00
192811,1.6,0.56
192911,2.67,1.63
193011,1.5,0.46
193111,-3.21,-4.25
193211,-1.25,-2.29
193311,-4.13,-5.17
193411,-6.48,-7.52
193511,-3.23,-4.27
193611,-6.15,-7.19
193711,-3.72,-4.76
193811,-3.02,-4.06
193911,-4.43,-5.47
194011,-3.99,-5.03
194111,-.39,-1.43
194211,-.34,-1.38
194311,-.29,-1.33
194411,4.05,3.01
194511,2.55,1.51
194611,4.77,3.73
194711,3.54,2.50
194811,1.42,0.38
194911,.04,-1.00
195011,-.42,-1.46
195111,2.9,1.86
195211,-2.07,-3.11
195311,-.92,-1.96
195411,-.93,-1.97
195511,-4.15,-5.19
195611,-2.21,-3.25
195711,3.93,2.89
195811,-1.67,-2.71
195911,1.06,0.02
196011,-.81,-1.85
196111,-.35,-1.39
196211,3.9,2.86
196311,-.93,-1.97
196411,-1.76,-2.80
196511,2.4,1.36
196611,-.07,-1.11
196711,-.88,-1.92
196811,1.71,0.67
196911,-.71,-1.75
197011,1.09,0.05
197111,3.02,1.98
197211,3.72,2.68
197311,2.48,1.44
197411,-3.06,-4.10
197511,-1.09,-2.13
197611,-4.33,-5.37
197711,3.02,1.98
197811,2.83,1.79
197911,-.36,-1.40
198011,-3.16,-4.20
198111,.13,-0.91
198211,5.26,4.22
198311,4.79,3.75
198411,4.53,3.49
198511,2.03,0.99
198611,5.82,4.78
198711,-1.68,-2.72
198811,-3.94,-4.98
198911,-2.81,-3.85
199011,-2.75,-3.79
199111,.43,-0.61
199211,1.96,0.92
199311,6.73,5.69
199411,4.3,3.26
199511,6.87,5.83
199611,6.74,5.70
199711,6.22,5.18
199811,6.78,5.74
199911,5.28,4.24
200011,2.07,1.03
200111,-.35,-1.39
200211,-2.71,-3.75
200311,-2.43,-3.47
200411,-.29,-1.33
200511,.18,-0.86
200611,.68,-0.36
200711,-.51,-1.55
200811,4.48,3.44
200911,6.41,5.37
201011,7.28,6.24
201111,-.72,-1.76
201211,-4.68,-5.72
201311,4.68,3.64
201411,4.93,3.89
201511,3.66,2.62
