Delaware, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.48,-2.39
189612,-1.94,-1.85
189712,1.04,1.13
189812,.78,0.87
189912,-2.71,-2.62
190012,-2.64,-2.55
190112,1.07,1.16
190212,3.02,3.11
190312,.34,0.43
190412,.49,0.58
190512,.49,0.58
190612,-.04,0.05
190712,3.53,3.62
190812,.22,0.31
190912,-1.25,-1.16
191012,.59,0.68
191112,2.11,2.20
191212,-1.22,-1.13
191312,-1.47,-1.38
191412,.47,0.56
191512,-.33,-0.24
191612,.38,0.47
191712,-.76,-0.67
191812,-2.87,-2.78
191912,2.18,2.27
192012,.83,0.92
192112,-3.39,-3.30
192212,.22,0.31
192312,-1.18,-1.09
192412,-.92,-0.83
192512,-2.44,-2.35
192612,2.17,2.26
192712,.74,0.83
192812,-1.2,-1.11
192912,-1.53,-1.44
193012,-5.23,-5.14
193112,-3.14,-3.05
193212,1.83,1.92
193312,1.46,1.55
193412,1.74,1.83
193512,3.76,3.85
193612,1.27,1.36
193712,-.59,-0.50
193812,2.68,2.77
193912,-1.31,-1.22
194012,-1.28,-1.19
194112,-3.38,-3.29
194212,-.97,-0.88
194312,-.65,-0.56
194412,1.25,1.34
194512,3.57,3.66
194612,-1.79,-1.70
194712,.1,0.19
194812,4.23,4.32
194912,-2.45,-2.36
195012,-1.12,-1.03
195112,1.65,1.74
195212,1.6,1.69
195312,-.92,-0.83
195412,-2.21,-2.12
195512,-.89,-0.80
195612,2.13,2.22
195712,.96,1.05
195812,-.17,-0.08
195912,1.49,1.58
196012,1.55,1.64
196112,.21,0.30
196212,-1.47,-1.38
196312,.36,0.45
196412,-3.33,-3.24
196512,-5.37,-5.28
196612,-.05,0.04
196712,2.83,2.92
196812,-3.06,-2.97
196912,2.33,2.42
197012,-1.36,-1.27
197112,2.04,2.13
197212,4.08,4.17
197312,.72,0.81
197412,.22,0.31
197512,2.62,2.71
197612,-.41,-0.32
197712,2.01,2.10
197812,.27,0.36
197912,-.54,-0.45
198012,-1.6,-1.51
198112,-1.88,-1.79
198212,-1.5,-1.41
198312,2.36,2.45
198412,-2.94,-2.85
198512,-1.56,-1.47
198612,-2.09,-2.00
198712,-3.19,-3.10
198812,-2.47,-2.38
198912,-.51,-0.42
199012,-1.76,-1.67
199112,-2.25,-2.16
199212,1.08,1.17
199312,.46,0.55
199412,-1.73,-1.64
199512,.8,0.89
199612,4.65,4.74
199712,.71,0.80
199812,-3.71,-3.62
199912,1.46,1.55
200012,-.88,-0.79
200112,-2.79,-2.70
200212,2.92,3.01
200312,5.11,5.20
200412,1.63,1.72
200512,1.66,1.75
200612,-.54,-0.45
200712,-2.86,-2.77
200812,-1.33,-1.24
200912,5.23,5.32
201012,-2.57,-2.48
201112,-.97,-0.88
201212,-.27,-0.18
201312,2.4,2.49
201412,.2,0.29
201512,-.81,-0.72
