Connecticut, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.12,0.01
189612,-1.26,-1.13
189712,2.79,2.92
189812,3.12,3.25
189912,-2,-1.87
190012,-1.78,-1.65
190112,4.33,4.46
190212,3.23,3.36
190312,2.23,2.36
190412,-.74,-0.61
190512,-.37,-0.24
190612,-.55,-0.42
190712,2.69,2.82
190812,-2.43,-2.30
190912,-1.68,-1.55
191012,-2.23,-2.10
191112,-.18,-0.05
191212,.43,0.56
191312,-.51,-0.38
191412,-2.75,-2.62
191512,-.48,-0.35
191612,-1.29,-1.16
191712,-1.11,-0.98
191812,.03,0.16
191912,-.33,-0.20
192012,3,3.13
192112,-1.09,-0.96
192212,-1.34,-1.21
192312,.97,1.10
192412,-1.76,-1.63
192512,-.29,-0.16
192612,-.08,0.05
192712,3.48,3.61
192812,-1.34,-1.21
192912,-2.1,-1.97
193012,-3.18,-3.05
193112,-2.77,-2.64
193212,-.59,-0.46
193312,-.83,-0.70
193412,1.33,1.46
193512,-2.65,-2.52
193612,1.12,1.25
193712,-.46,-0.33
193812,3.57,3.70
193912,-1.61,-1.48
194012,-.62,-0.49
194112,-2.11,-1.98
194212,1.97,2.10
194312,-1.91,-1.78
194412,-.16,-0.03
194512,1.6,1.73
194612,-1.81,-1.68
194712,-.46,-0.33
194812,.65,0.78
194912,-3.67,-3.54
195012,.45,0.58
195112,1.47,1.60
195212,.85,0.98
195312,-.86,-0.73
195412,2.04,2.17
195512,-.98,-0.85
195612,-.36,-0.23
195712,.95,1.08
195812,-.92,-0.79
195912,1.37,1.50
196012,-.58,-0.45
196112,-1.65,-1.52
196212,-1.57,-1.44
196312,-2.18,-2.05
196412,-4.08,-3.95
196512,-5.09,-4.96
196612,-3.06,-2.93
196712,-.07,0.06
196812,-.94,-0.81
196912,2.05,2.18
197012,-2.04,-1.91
197112,-.3,-0.17
197212,4.14,4.27
197312,2.54,2.67
197412,.45,0.58
197512,2.72,2.85
197612,-1.07,-0.94
197712,2.31,2.44
197812,.16,0.29
197912,-.51,-0.38
198012,-2.36,-2.23
198112,.44,0.57
198212,-2.07,-1.94
198312,2.22,2.35
198412,-1.9,-1.77
198512,-.71,-0.58
198612,1.46,1.59
198712,-1.52,-1.39
198812,-.73,-0.60
198912,2.94,3.07
199012,2.49,2.62
199112,-.21,-0.08
199212,2.46,2.59
199312,.92,1.05
199412,-.27,-0.14
199512,.99,1.12
199612,3.72,3.85
199712,.27,0.40
199812,-1.9,-1.77
199912,.85,0.98
200012,-.54,-0.41
200112,-3.22,-3.09
200212,1.02,1.15
200312,.41,0.54
200412,.16,0.29
200512,3.14,3.27
200612,2.54,2.67
200712,-1.88,-1.75
200812,3.21,3.34
200912,2.1,2.23
201012,.22,0.35
201112,-.14,-0.01
201212,-1.6,-1.47
201312,-1.43,-1.30
201412,-1.01,-0.88
201512,-3.59,-3.46
