North Dakota, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.93,1.26
189612,5.29,4.62
189712,-1.49,-2.16
189812,-.25,-0.92
189912,-.64,-1.31
190012,-.07,-0.74
190112,1.82,1.15
190212,2.64,1.97
190312,2.89,2.22
190412,2.74,2.07
190512,3.16,2.49
190612,3.63,2.96
190712,1.7,1.03
190812,1.74,1.07
190912,.86,0.19
191012,-3.1,-3.77
191112,-.04,-0.71
191212,-.23,-0.90
191312,-.72,-1.39
191412,-.64,-1.31
191512,2.92,2.25
191612,5.16,4.49
191712,-1.97,-2.64
191812,.92,0.25
191912,1.21,0.54
192012,-.93,-1.60
192112,.76,0.09
192212,2.06,1.39
192312,1.75,1.08
192412,-.1,-0.77
192512,-.35,-1.02
192612,1.18,0.51
192712,4.62,3.95
192812,3.78,3.11
192912,1.05,0.38
193012,-1.13,-1.80
193112,-1.95,-2.62
193212,.91,0.24
193312,-2.24,-2.91
193412,-6.06,-6.73
193512,-1.59,-2.26
193612,-5.79,-6.46
193712,-3.1,-3.77
193812,-3.1,-3.77
193912,-3.77,-4.44
194012,-2,-2.67
194112,3,2.33
194212,3.72,3.05
194312,2.73,2.06
194412,3.55,2.88
194512,-.15,-0.82
194612,1.67,1.00
194712,2.12,1.45
194812,1.53,0.86
194912,.96,0.29
195012,3.01,2.34
195112,2,1.33
195212,-3.57,-4.24
195312,1.61,0.94
195412,-.96,-1.63
195512,-.16,-0.83
195612,-.11,-0.78
195712,-.22,-0.89
195812,-1.77,-2.44
195912,-1.17,-1.84
196012,-1.95,-2.62
196112,-.71,-1.38
196212,2.3,1.63
196312,-1.77,-2.44
196412,-.34,-1.01
196512,3.61,2.94
196612,2.3,1.63
196712,-1.22,-1.89
196812,1.44,0.77
196912,-.73,-1.40
197012,1.62,0.95
197112,2.61,1.94
197212,2.7,2.03
197312,1.85,1.18
197412,-1.22,-1.89
197512,3.26,2.59
197612,-3.38,-4.05
197712,3.34,2.67
197812,2.1,1.43
197912,-1.54,-2.21
198012,-.39,-1.06
198112,-1.33,-2.00
198212,3.68,3.01
198312,2.19,1.52
198412,-.61,-1.28
198512,1.74,1.07
198612,3.88,3.21
198712,-1.72,-2.39
198812,-4.97,-5.64
198912,-3.87,-4.54
199012,-3.84,-4.51
199112,-1.49,-2.16
199212,-1.45,-2.12
199312,5.23,4.56
199412,5.92,5.25
199512,5.5,4.83
199612,4.85,4.18
199712,1.91,1.24
199812,2.67,2.00
199912,3.56,2.89
200012,4.35,3.68
200112,-1.44,-2.11
200212,-1.38,-2.05
200312,.1,-0.57
200412,-.37,-1.04
200512,2.98,2.31
200612,-1.89,-2.56
200712,-1.04,-1.71
200812,3.3,2.63
200912,4.74,4.07
201012,7.34,6.67
201112,-.36,-1.03
201212,.8,0.13
201312,5.54,4.87
201412,4.33,3.66
201512,1.11,0.44
