Alabama, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.62,-1.51
189612,-3.39,-3.28
189712,-4.13,-4.02
189812,1.21,1.32
189912,-2.93,-2.82
190012,1.74,1.85
190112,1.46,1.57
190212,-2.61,-2.50
190312,-1.84,-1.73
190412,-3.39,-3.28
190512,-.96,-0.85
190612,-.64,-0.53
190712,1.93,2.04
190812,-2.32,-2.21
190912,-1.76,-1.65
191012,-1.41,-1.30
191112,.95,1.06
191212,2.19,2.30
191312,-1.86,-1.75
191412,-2.11,-2.00
191512,-.79,-0.68
191612,-1.12,-1.01
191712,-1.43,-1.32
191812,2.11,2.22
191912,2.82,2.93
192012,.86,0.97
192112,-3.59,-3.48
192212,-1.93,-1.82
192312,.39,0.50
192412,-2.36,-2.25
192512,.62,0.73
192612,1.52,1.63
192712,-2.15,-2.04
192812,.7,0.81
192912,-.28,-0.17
193012,-1.63,-1.52
193112,.83,0.94
193212,3.11,3.22
193312,-3.19,-3.08
193412,-.4,-0.29
193512,-1.8,-1.69
193612,.36,0.47
193712,-.55,-0.44
193812,-2.27,-2.16
193912,-1.84,-1.73
194012,-.87,-0.76
194112,-2.01,-1.90
194212,-.01,0.10
194312,-2.04,-1.93
194412,-1.09,-0.98
194512,.5,0.61
194612,2.1,2.21
194712,1.18,1.29
194812,2.92,3.03
194912,-1.17,-1.06
195012,-.65,-0.54
195112,-1.03,-0.92
195212,-2.4,-2.29
195312,1.39,1.50
195412,-4.67,-4.56
195512,-3.21,-3.10
195612,-1.59,-1.48
195712,-.4,-0.29
195812,-1.27,-1.16
195912,-.6,-0.49
196012,-1.09,-0.98
196112,3.6,3.71
196212,-2.36,-2.25
196312,.08,0.19
196412,1.77,1.88
196512,-1.96,-1.85
196612,-.15,-0.04
196712,3.48,3.59
196812,.63,0.74
196912,-.18,-0.07
197012,-.36,-0.25
197112,1.13,1.24
197212,1.14,1.25
197312,2.3,2.41
197412,2.43,2.54
197512,4.99,5.10
197612,2.55,2.66
197712,1.5,1.61
197812,-1.87,-1.76
197912,2.42,2.53
198012,-2.36,-2.25
198112,.25,0.36
198212,1.33,1.44
198312,3.43,3.54
198412,-.99,-0.88
198512,-.66,-0.55
198612,1.2,1.31
198712,-2.36,-2.25
198812,-.55,-0.44
198912,3.25,3.36
199012,.13,0.24
199112,-.69,-0.58
199212,3.09,3.20
199312,.01,0.12
199412,-.52,-0.41
199512,2.44,2.55
199612,1.29,1.40
199712,2.53,2.64
199812,-.96,-0.85
199912,-2.18,-2.07
200012,.92,1.03
200112,-.45,-0.34
200212,2.39,2.50
200312,-.35,-0.24
200412,3.12,3.23
200512,-.85,-0.74
200612,-1.72,-1.61
200712,-4.37,-4.26
200812,1.08,1.19
200912,5.15,5.26
201012,-2.66,-2.55
201112,-2.13,-2.02
201212,.82,0.93
201312,2.72,2.83
201412,-.42,-0.31
201512,2.34,2.45
