Wyoming, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.57,2.10
189612,2.91,2.44
189712,-1.2,-1.67
189812,-.46,-0.93
189912,-.34,-0.81
190012,-3.24,-3.71
190112,-2.66,-3.13
190212,-3.81,-4.28
190312,-.37,-0.84
190412,-2.19,-2.66
190512,1.26,0.79
190612,2.98,2.51
190712,-.81,-1.28
190812,3.28,2.81
190912,3.95,3.48
191012,-3.9,-4.37
191112,.82,0.35
191212,4.16,3.69
191312,2.01,1.54
191412,-2.79,-3.26
191512,2.76,2.29
191612,1.36,0.89
191712,-1.87,-2.34
191812,-.76,-1.23
191912,2.21,1.74
192012,.3,-0.17
192112,1.09,0.62
192212,.72,0.25
192312,5.2,4.73
192412,2.6,2.13
192512,3.45,2.98
192612,3.44,2.97
192712,5.93,5.46
192812,4.4,3.93
192912,-.32,-0.79
193012,-.6,-1.07
193112,-2.88,-3.35
193212,-1.4,-1.87
193312,-3.11,-3.58
193412,-6.55,-7.02
193512,-4.36,-4.83
193612,-2.49,-2.96
193712,1.6,1.13
193812,-.14,-0.61
193912,-4.29,-4.76
194012,-3.71,-4.18
194112,3.63,3.16
194212,4.02,3.55
194312,1.16,0.69
194412,1.81,1.34
194512,4.85,4.38
194612,4.42,3.95
194712,4.59,4.12
194812,1.9,1.43
194912,1.53,1.06
195012,2,1.53
195112,2.99,2.52
195212,-2.25,-2.72
195312,-2.52,-2.99
195412,-5.14,-5.61
195512,-2.7,-3.17
195612,-2.7,-3.17
195712,-.12,-0.59
195812,.46,-0.01
195912,-1.13,-1.60
196012,-4.38,-4.85
196112,1.87,1.40
196212,-1.51,-1.98
196312,-1.48,-1.95
196412,1.22,0.75
196512,-.92,-1.39
196612,-.36,-0.83
196712,2.82,2.35
196812,3.12,2.65
196912,.46,-0.01
197012,1.86,1.39
197112,3.21,2.74
197212,3.17,2.70
197312,3.94,3.47
197412,-1.99,-2.46
197512,1.7,1.23
197612,-1.56,-2.03
197712,.38,-0.09
197812,1.81,1.34
197912,-1.57,-2.04
198012,-.94,-1.41
198112,.45,-0.02
198212,4.75,4.28
198312,5.56,5.09
198412,-.11,-0.58
198512,1.21,0.74
198612,-.55,-1.02
198712,-1.27,-1.74
198812,-4.95,-5.42
198912,-3.18,-3.65
199012,-2.2,-2.67
199112,-.46,-0.93
199212,.28,-0.19
199312,3.49,3.02
199412,1.64,1.17
199512,4.49,4.02
199612,3.17,2.70
199712,3.43,2.96
199812,4.58,4.11
199912,-2.03,-2.50
200012,-3.77,-4.24
200112,-6.39,-6.86
200212,-6.17,-6.64
200312,-3.78,-4.25
200412,-3.38,-3.85
200512,-1.59,-2.06
200612,-3.56,-4.03
200712,-4.06,-4.53
200812,-.48,-0.95
200912,-.51,-0.98
201012,1.75,1.28
201112,.49,0.02
201212,-5.72,-6.19
201312,1.96,1.49
201412,.74,0.27
201512,-.81,-1.28
