Missouri, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.82,2.67
189612,1.28,1.13
189712,-2.78,-2.93
189812,3.79,3.64
189912,-1.58,-1.73
190012,-.45,-0.60
190112,-5.42,-5.57
190212,3,2.85
190312,1.93,1.78
190412,-1.64,-1.79
190512,3.25,3.10
190612,1.49,1.34
190712,.68,0.53
190812,-1.14,-1.29
190912,.71,0.56
191012,-.73,-0.88
191112,.51,0.36
191212,-1.1,-1.25
191312,-2.15,-2.30
191412,-.74,-0.89
191512,3.45,3.30
191612,-2.48,-2.63
191712,-2.44,-2.59
191812,-1.57,-1.72
191912,-.48,-0.63
192012,-.72,-0.87
192112,.99,0.84
192212,-2.4,-2.55
192312,.99,0.84
192412,-.11,-0.26
192512,-.15,-0.30
192612,2.8,2.65
192712,4.88,4.73
192812,3.36,3.21
192912,2.49,2.34
193012,-3.61,-3.76
193112,.64,0.49
193212,.79,0.64
193312,-2.95,-3.10
193412,1.07,0.92
193512,-.35,-0.50
193612,.78,0.63
193712,-2.13,-2.28
193812,-2.14,-2.29
193912,-2.53,-2.68
194012,-2.89,-3.04
194112,2.51,2.36
194212,2.94,2.79
194312,-1.46,-1.61
194412,-1.34,-1.49
194512,2.7,2.55
194612,.83,0.68
194712,-1.81,-1.96
194812,.01,-0.14
194912,2.42,2.27
195012,1.01,0.86
195112,-.11,-0.26
195212,-2.87,-3.02
195312,-6.85,-7.00
195412,-5,-5.15
195512,-3.74,-3.89
195612,-3.98,-4.13
195712,1.84,1.69
195812,-.68,-0.83
195912,.98,0.83
196012,-1.21,-1.36
196112,3.33,3.18
196212,-1.66,-1.81
196312,-4.48,-4.63
196412,-2.86,-3.01
196512,.01,-0.14
196612,-1.66,-1.81
196712,2.47,2.32
196812,2.09,1.94
196912,2.39,2.24
197012,2.43,2.28
197112,-1.58,-1.73
197212,1.61,1.46
197312,4.72,4.57
197412,2.45,2.30
197512,-.53,-0.68
197612,-3,-3.15
197712,2.11,1.96
197812,.68,0.53
197912,-.64,-0.79
198012,-4.08,-4.23
198112,2.51,2.36
198212,5.3,5.15
198312,1.86,1.71
198412,2.98,2.83
198512,4.57,4.42
198612,-.02,-0.17
198712,1.62,1.47
198812,.25,0.10
198912,-1.76,-1.91
199012,2.17,2.02
199112,.86,0.71
199212,3.03,2.88
199312,6.01,5.86
199412,2.17,2.02
199512,-1.55,-1.70
199612,2.19,2.04
199712,.67,0.52
199812,2.6,2.45
199912,-2.98,-3.13
200012,-1.19,-1.34
200112,1.28,1.13
200212,-2.14,-2.29
200312,1.05,0.90
200412,2.46,2.31
200512,-2.47,-2.62
200612,.57,0.42
200712,.36,0.21
200812,4.49,4.34
200912,5.65,5.50
201012,2.57,2.42
201112,-.77,-0.92
201212,-4.12,-4.27
201312,-.19,-0.34
201412,1.62,1.47
201512,5.3,5.15
