Kentucky, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.07,-1.95
189612,-.67,-0.55
189712,-2.54,-2.42
189812,1.07,1.19
189912,-3.05,-2.93
190012,-1.48,-1.36
190112,-3.19,-3.07
190212,1.08,1.20
190312,-2.49,-2.37
190412,-4.12,-4.00
190512,1.77,1.89
190612,2.53,2.65
190712,2.23,2.35
190812,-3.3,-3.18
190912,-1.12,-1.00
191012,-.04,0.08
191112,1.43,1.55
191212,.63,0.75
191312,-3.28,-3.16
191412,-2.14,-2.02
191512,4.05,4.17
191612,1.13,1.25
191712,-1.06,-0.94
191812,-1.36,-1.24
191912,3.04,3.16
192012,-.76,-0.64
192112,1.44,1.56
192212,.3,0.42
192312,1.53,1.65
192412,-.73,-0.61
192512,-.8,-0.68
192612,3.57,3.69
192712,-.14,-0.02
192812,1.5,1.62
192912,1.32,1.44
193012,-6.56,-6.44
193112,.33,0.45
193212,.51,0.63
193312,-1.01,-0.89
193412,-2.86,-2.74
193512,-.31,-0.19
193612,.02,0.14
193712,-1.14,-1.02
193812,-1.03,-0.91
193912,-3.38,-3.26
194012,-3.56,-3.44
194112,-4.05,-3.93
194212,2.53,2.65
194312,-3.54,-3.42
194412,-3.8,-3.68
194512,.2,0.32
194612,-.73,-0.61
194712,-1.51,-1.39
194812,1.19,1.31
194912,.56,0.68
195012,3.84,3.96
195112,3.12,3.24
195212,-3.29,-3.17
195312,-5.76,-5.64
195412,-3.73,-3.61
195512,-1.98,-1.86
195612,.03,0.15
195712,2.3,2.42
195812,-.88,-0.76
195912,-.55,-0.43
196012,-.97,-0.85
196112,1.6,1.72
196212,-.21,-0.09
196312,-3.34,-3.22
196412,.41,0.53
196512,-1.73,-1.61
196612,1.2,1.32
196712,2.48,2.60
196812,-.72,-0.60
196912,-.01,0.11
197012,1.18,1.30
197112,-1.07,-0.95
197212,2.93,3.05
197312,2.42,2.54
197412,3.15,3.27
197512,3.41,3.53
197612,-.92,-0.80
197712,2.61,2.73
197812,3.32,3.44
197912,5.94,6.06
198012,-2.45,-2.33
198112,-.51,-0.39
198212,1.92,2.04
198312,1.44,1.56
198412,1.82,1.94
198512,-.61,-0.49
198612,-.7,-0.58
198712,-2.75,-2.63
198812,1.48,1.60
198912,3.22,3.34
199012,3.65,3.77
199112,-1.43,-1.31
199212,-.18,-0.06
199312,1.37,1.49
199412,-1.26,-1.14
199512,.33,0.45
199612,3.71,3.83
199712,-1.74,-1.62
199812,-2.27,-2.15
199912,-4.58,-4.46
200012,-1.83,-1.71
200112,1.77,1.89
200212,2.32,2.44
200312,3.83,3.95
200412,4.15,4.27
200512,-3.08,-2.96
200612,-.26,-0.14
200712,1.06,1.18
200812,-2.05,-1.93
200912,-.25,-0.13
201012,-1.89,-1.77
201112,4.08,4.20
201212,.9,1.02
201312,3.66,3.78
201412,2.02,2.14
201512,3.78,3.90
