Tennessee, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.93,-1.92
189612,-1.09,-1.08
189712,-2.78,-2.77
189812,-.6,-0.59
189912,-3.07,-3.06
190012,-.52,-0.51
190112,.71,0.72
190212,.53,0.54
190312,-1.59,-1.58
190412,-2.76,-2.75
190512,-.33,-0.32
190612,3.46,3.47
190712,-.22,-0.21
190812,-1.5,-1.49
190912,-1.28,-1.27
191012,-.99,-0.98
191112,1.1,1.11
191212,.91,0.92
191312,-3.37,-3.36
191412,-2.56,-2.55
191512,3.16,3.17
191612,1.15,1.16
191712,-1.43,-1.42
191812,-.51,-0.50
191912,1.72,1.73
192012,-.47,-0.46
192112,-.63,-0.62
192212,.55,0.56
192312,.2,0.21
192412,-1.78,-1.77
192512,-2.66,-2.65
192612,3.23,3.24
192712,-.4,-0.39
192812,1.73,1.74
192912,-.44,-0.43
193012,-3.89,-3.88
193112,.85,0.86
193212,1.91,1.92
193312,-1.66,-1.65
193412,-.83,-0.82
193512,-1.76,-1.75
193612,.38,0.39
193712,-.64,-0.63
193812,-1.46,-1.45
193912,-3.13,-3.12
194012,-2.55,-2.54
194112,-4.3,-4.29
194212,-.84,-0.83
194312,-2.7,-2.69
194412,.53,0.54
194512,1.49,1.50
194612,-.52,-0.51
194712,-2.29,-2.28
194812,1.91,1.92
194912,2.18,2.19
195012,3.25,3.26
195112,2.66,2.67
195212,-3.42,-3.41
195312,-4.16,-4.15
195412,-4.23,-4.22
195512,-1.77,-1.76
195612,.1,0.11
195712,3.48,3.49
195812,-1.53,-1.52
195912,1.08,1.09
196012,-.52,-0.51
196112,1.26,1.27
196212,-1.08,-1.07
196312,-2.41,-2.40
196412,1.08,1.09
196512,-2.35,-2.34
196612,.16,0.17
196712,3.21,3.22
196812,-1.59,-1.58
196912,.96,0.97
197012,-.42,-0.41
197112,.11,0.12
197212,3.8,3.81
197312,3.59,3.60
197412,3.55,3.56
197512,3.17,3.18
197612,-.84,-0.83
197712,-.26,-0.25
197812,1.14,1.15
197912,4.3,4.31
198012,-3,-2.99
198112,.82,0.83
198212,1.92,1.93
198312,1.54,1.55
198412,-.54,-0.53
198512,-.81,-0.80
198612,-1.03,-1.02
198712,-2.42,-2.41
198812,1.37,1.38
198912,3.8,3.81
199012,3.01,3.02
199112,2.21,2.22
199212,-.01,0.00
199312,.54,0.55
199412,-.48,-0.47
199512,1.44,1.45
199612,3.73,3.74
199712,2.08,2.09
199812,.33,0.34
199912,-2.93,-2.92
200012,-2.76,-2.75
200112,1.92,1.93
200212,2.32,2.33
200312,3.53,3.54
200412,4.32,4.33
200512,-1.95,-1.94
200612,-.96,-0.95
200712,-4.01,-4.00
200812,-1.8,-1.79
200912,.38,0.39
201012,-1.36,-1.35
201112,2.53,2.54
201212,.73,0.74
201312,3.16,3.17
201412,2.59,2.60
201512,3.1,3.11
