North Carolina, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.96,-1.87
189612,-.51,-0.42
189712,-1.96,-1.87
189812,1.69,1.78
189912,-1.06,-0.97
190012,-2.14,-2.05
190112,4.51,4.60
190212,.12,0.21
190312,-1.4,-1.31
190412,.66,0.75
190512,1.27,1.36
190612,-.37,-0.28
190712,2.07,2.16
190812,3.46,3.55
190912,-1.38,-1.29
191012,-.48,-0.39
191112,.43,0.52
191212,-2.02,-1.93
191312,-.17,-0.08
191412,1.23,1.32
191512,-.1,-0.01
191612,-.97,-0.88
191712,-.94,-0.85
191812,.94,1.03
191912,-2.69,-2.60
192012,2.59,2.68
192112,-3.59,-3.50
192212,.56,0.65
192312,-2.57,-2.48
192412,.31,0.40
192512,-4,-3.91
192612,-3.87,-3.78
192712,1.21,1.30
192812,2.81,2.90
192912,-.15,-0.06
193012,-2.99,-2.90
193112,-2.85,-2.76
193212,2.59,2.68
193312,-4.81,-4.72
193412,-.26,-0.17
193512,.06,0.15
193612,1.45,1.54
193712,-.4,-0.31
193812,.9,0.99
193912,-1.96,-1.87
194012,-1.51,-1.42
194112,-4,-3.91
194212,1.43,1.52
194312,-2.41,-2.32
194412,-.94,-0.85
194512,3.2,3.29
194612,-.83,-0.74
194712,1.93,2.02
194812,2.22,2.31
194912,-.53,-0.44
195012,-.49,-0.40
195112,-2.2,-2.11
195212,-1.18,-1.09
195312,-2.44,-2.35
195412,-3.55,-3.46
195512,-.99,-0.90
195612,-.83,-0.74
195712,2.47,2.56
195812,-.25,-0.16
195912,1.97,2.06
196012,-.9,-0.81
196112,.57,0.66
196212,1.38,1.47
196312,.38,0.47
196412,2.34,2.43
196512,-2.52,-2.43
196612,-.36,-0.27
196712,2.14,2.23
196812,-.18,-0.09
196912,1.61,1.70
197012,-1.39,-1.30
197112,1.86,1.95
197212,2.74,2.83
197312,1.02,1.11
197412,1.59,1.68
197512,2.29,2.38
197612,1.69,1.78
197712,1.6,1.69
197812,-.05,0.04
197912,-.74,-0.65
198012,-2.33,-2.24
198112,.6,0.69
198212,1.23,1.32
198312,1.59,1.68
198412,-2.05,-1.96
198512,-.79,-0.70
198612,.4,0.49
198712,-2.22,-2.13
198812,-2.46,-2.37
198912,3.67,3.76
199012,.6,0.69
199112,-1.53,-1.44
199212,2.12,2.21
199312,-3.14,-3.05
199412,.09,0.18
199512,1.68,1.77
199612,3.18,3.27
199712,.4,0.49
199812,-2.87,-2.78
199912,-.97,-0.88
200012,-1.27,-1.18
200112,-3.88,-3.79
200212,1.31,1.40
200312,.31,0.40
200412,-.32,-0.23
200512,1.08,1.17
200612,-.18,-0.09
200712,-5.46,-5.37
200812,-2.52,-2.43
200912,2.64,2.73
201012,-2.1,-2.01
201112,-2,-1.91
201212,.21,0.30
201312,2.43,2.52
201412,.7,0.79
201512,3.52,3.61
