Vermont, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.02,1.47
189612,-2.78,-2.33
189712,2.65,3.10
189812,-.97,-0.52
189912,-2.98,-2.53
190012,-1.3,-0.85
190112,.78,1.23
190212,1.54,1.99
190312,-1.85,-1.40
190412,-1.76,-1.31
190512,-.89,-0.44
190612,-1.84,-1.39
190712,2.02,2.47
190812,-5.46,-5.01
190912,-3.51,-3.06
191012,-2.82,-2.37
191112,-2.85,-2.40
191212,-.18,0.27
191312,-3.13,-2.68
191412,-3.86,-3.41
191512,-.85,-0.40
191612,-1.19,-0.74
191712,-1.48,-1.03
191812,-.56,-0.11
191912,-.88,-0.43
192012,2.08,2.53
192112,-3.22,-2.77
192212,-2.85,-2.40
192312,-1.7,-1.25
192412,-1.73,-1.28
192512,-.66,-0.21
192612,-.71,-0.26
192712,4.04,4.49
192812,-1.36,-0.91
192912,-1.97,-1.52
193012,-3.18,-2.73
193112,-1.08,-0.63
193212,-.8,-0.35
193312,-1.98,-1.53
193412,-2.07,-1.62
193512,-1.05,-0.60
193612,.72,1.17
193712,-.41,0.04
193812,2.26,2.71
193912,-2.1,-1.65
194012,.89,1.34
194112,-2.84,-2.39
194212,-1.18,-0.73
194312,-1.07,-0.62
194412,-2.02,-1.57
194512,-.44,0.01
194612,.76,1.21
194712,-3.11,-2.66
194812,-1.11,-0.66
194912,-2.93,-2.48
195012,.67,1.12
195112,1.91,2.36
195212,.77,1.22
195312,.13,0.58
195412,3.01,3.46
195512,-1.13,-0.68
195612,-.83,-0.38
195712,.94,1.39
195812,-1.26,-0.81
195912,2.15,2.60
196012,-1.45,-1.00
196112,-2.26,-1.81
196212,-.48,-0.03
196312,-3.22,-2.77
196412,-3.67,-3.22
196512,-2.39,-1.94
196612,-1.19,-0.74
196712,-.27,0.18
196812,1.51,1.96
196912,2.69,3.14
197012,.44,0.89
197112,-.73,-0.28
197212,2.95,3.40
197312,3.83,4.28
197412,.04,0.49
197512,2.08,2.53
197612,-.93,-0.48
197712,2.85,3.30
197812,.07,0.52
197912,-1.44,-0.99
198012,-2.08,-1.63
198112,.16,0.61
198212,-2.36,-1.91
198312,3.34,3.79
198412,-1.08,-0.63
198512,.42,0.87
198612,1.72,2.17
198712,-.76,-0.31
198812,-1.55,-1.10
198912,1.4,1.85
199012,4.15,4.60
199112,-.53,-0.08
199212,.22,0.67
199312,.18,0.63
199412,-1.42,-0.97
199512,1.44,1.89
199612,3.31,3.76
199712,1.71,2.16
199812,-1.2,-0.75
199912,.33,0.78
200012,2.1,2.55
200112,-4.25,-3.80
200212,-.57,-0.12
200312,3.93,4.38
200412,1.84,2.29
200512,3.37,3.82
200612,4.04,4.49
200712,3.26,3.71
200812,4.75,5.20
200912,3.15,3.60
201012,2.59,3.04
201112,-.79,-0.34
201212,-.7,-0.25
201312,1.89,2.34
201412,-.06,0.39
201512,-.59,-0.14
