Texas, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.35,2.36
189612,-2.06,-2.05
189712,-2.43,-2.42
189812,-1.85,-1.84
189912,.63,0.64
190012,-.81,-0.80
190112,-4.05,-4.04
190212,1.28,1.29
190312,-1.74,-1.73
190412,-2.43,-2.42
190512,2.91,2.92
190612,-.2,-0.19
190712,2.4,2.41
190812,-.87,-0.86
190912,-3.36,-3.35
191012,-4.86,-4.85
191112,1.17,1.18
191212,-.94,-0.93
191312,3.86,3.87
191412,4.85,4.86
191512,-1.32,-1.31
191612,-3.36,-3.35
191712,-6.19,-6.18
191812,2,2.01
191912,7.31,7.32
192012,-.23,-0.22
192112,-2.77,-2.76
192212,-1.99,-1.98
192312,3.28,3.29
192412,-2.55,-2.54
192512,.84,0.85
192612,2.72,2.73
192712,-2.05,-2.04
192812,.43,0.44
192912,-.3,-0.29
193012,2.1,2.11
193112,.77,0.78
193212,.74,0.75
193312,-2.72,-2.71
193412,-3.39,-3.38
193512,2.57,2.58
193612,1.16,1.17
193712,.83,0.84
193812,-2.04,-2.03
193912,-3,-2.99
194012,2.48,2.49
194112,6.44,6.45
194212,-.54,-0.53
194312,.39,0.40
194412,2.39,2.40
194512,.84,0.85
194612,1.27,1.28
194712,-1.27,-1.26
194812,-2.97,-2.96
194912,1.75,1.76
195012,-2.39,-2.38
195112,-4.49,-4.48
195212,-3.59,-3.58
195312,-2.72,-2.71
195412,-5.27,-5.26
195512,-4.75,-4.74
195612,-6.69,-6.68
195712,3.55,3.56
195812,2.65,2.66
195912,2.08,2.09
196012,3.23,3.24
196112,-.07,-0.06
196212,-1.67,-1.66
196312,-3.85,-3.84
196412,-2.7,-2.69
196512,.09,0.10
196612,-1.71,-1.70
196712,1.02,1.03
196812,3.51,3.52
196912,2.68,2.69
197012,-1.51,-1.50
197112,2.3,2.31
197212,.84,0.85
197312,-.64,-0.63
197412,4.27,4.28
197512,-.84,-0.83
197612,2.25,2.26
197712,-2.52,-2.51
197812,.46,0.47
197912,-.69,-0.68
198012,-1.45,-1.44
198112,-.66,-0.65
198212,1.06,1.07
198312,-.42,-0.41
198412,2.2,2.21
198512,-.12,-0.11
198612,3.51,3.52
198712,.73,0.74
198812,-2.12,-2.11
198912,-2.24,-2.23
199012,.02,0.03
199112,3.88,3.89
199212,4.15,4.16
199312,-.71,-0.70
199412,1.34,1.35
199512,-.9,-0.89
199612,.91,0.92
199712,3.07,3.08
199812,1.82,1.83
199912,-2.71,-2.70
200012,2.8,2.81
200112,-.21,-0.20
200212,2.76,2.77
200312,-1.51,-1.50
200412,4.55,4.56
200512,-2.63,-2.62
200612,.26,0.27
200712,-1.12,-1.11
200812,-2.6,-2.59
200912,1.82,1.83
201012,-1.84,-1.83
201112,-5.91,-5.90
201212,-4.61,-4.60
201312,-2.6,-2.59
201412,.22,0.23
201512,4.86,4.87
