Nebraska, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,-.49,-1.26
189611,3.15,2.38
189711,2.07,1.30
189811,-.08,-0.85
189911,-1.36,-2.13
190011,-1.16,-1.93
190111,-1.16,-1.93
190211,2.94,2.17
190311,4.83,4.06
190411,3.41,2.64
190511,6.39,5.62
190611,5.49,4.72
190711,2.92,2.15
190811,4.29,3.52
190911,4.77,4.00
191011,-1.96,-2.73
191111,.99,0.22
191211,-.27,-1.04
191311,-1.7,-2.47
191411,-1.73,-2.50
191511,7.13,6.36
191611,2.92,2.15
191711,-.78,-1.55
191811,.78,0.01
191911,3.15,2.38
192011,3.83,3.06
192111,-.96,-1.73
192211,1.08,0.31
192311,4.14,3.37
192411,2.08,1.31
192511,.35,-0.42
192611,1.04,0.27
192711,-.69,-1.46
192811,1.53,0.76
192911,1.86,1.09
193011,2.87,2.10
193111,.75,-0.02
193211,-1.05,-1.82
193311,-3.16,-3.93
193411,-6.55,-7.32
193511,-2.24,-3.01
193611,-6.14,-6.91
193711,-5.57,-6.34
193811,-3.74,-4.51
193911,-6.04,-6.81
194011,-5.63,-6.40
194111,1.17,0.40
194211,-.28,-1.05
194311,-2.09,-2.86
194411,3.09,2.32
194511,-.93,-1.70
194611,3.47,2.70
194711,-.71,-1.48
194811,.52,-0.25
194911,2.18,1.41
195011,2.4,1.63
195111,6.5,5.73
195211,-1.37,-2.14
195311,-1.65,-2.42
195411,-2.68,-3.45
195511,-5.57,-6.34
195611,-6.26,-7.03
195711,2.82,2.05
195811,2.49,1.72
195911,2.21,1.44
196011,-.71,-1.48
196111,1.05,0.28
196211,-.35,-1.12
196311,-1.2,-1.97
196411,-2.39,-3.16
196511,3.38,2.61
196611,-.65,-1.42
196711,-.42,-1.19
196811,1.09,0.32
196911,-.31,-1.08
197011,.82,0.05
197111,1.74,0.97
197211,1.87,1.10
197311,5.24,4.47
197411,-1.75,-2.52
197511,-1.35,-2.12
197611,-2.61,-3.38
197711,2.18,1.41
197811,1.31,0.54
197911,3.82,3.05
198011,-2.25,-3.02
198111,.56,-0.21
198211,3.72,2.95
198311,4.12,3.35
198411,3.75,2.98
198511,2.34,1.57
198611,3.82,3.05
198711,2.85,2.08
198811,-1.43,-2.20
198911,-3.98,-4.75
199011,-2.96,-3.73
199111,.72,-0.05
199211,2.93,2.16
199311,7.91,7.14
199411,3.86,3.09
199511,3.54,2.77
199611,3.87,3.10
199711,3.02,2.25
199811,4.39,3.62
199911,-1.24,-2.01
200011,.93,0.16
200111,.68,-0.09
200211,-3.19,-3.96
200311,-3.04,-3.81
200411,.61,-0.16
200511,-.69,-1.46
200611,.43,-0.34
200711,2.47,1.70
200811,5.31,4.54
200911,5.93,5.16
201011,5.28,4.51
201111,-.22,-0.99
201211,-6.06,-6.83
201311,-1.54,-2.31
201411,2.12,1.35
201511,3.61,2.84
