Nebraska, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.74,-1.48
189612,2.68,1.94
189712,2.43,1.69
189812,-.31,-1.05
189912,-1.2,-1.94
190012,-1.42,-2.16
190112,-1.09,-1.83
190212,3.43,2.69
190312,4.16,3.42
190412,2.85,2.11
190512,5.58,4.84
190612,5.47,4.73
190712,2.84,2.10
190812,3.9,3.16
190912,5.54,4.80
191012,-1.74,-2.48
191112,1.43,0.69
191212,-.53,-1.27
191312,1.37,0.63
191412,0,-0.74
191512,6.99,6.25
191612,2.61,1.87
191712,-.88,-1.62
191812,1.41,0.67
191912,3.06,2.32
192012,3.75,3.01
192112,-1.12,-1.86
192212,-.33,-1.07
192312,3.94,3.20
192412,2.89,2.15
192512,.64,-0.10
192612,.93,0.19
192712,-.78,-1.52
192812,1.11,0.37
192912,-.3,-1.04
193012,2.45,1.71
193112,1.03,0.29
193212,-1.17,-1.91
193312,-2.54,-3.28
193412,-6.19,-6.93
193512,-2.32,-3.06
193612,-5.69,-6.43
193712,-5.46,-6.20
193812,-3.84,-4.58
193912,-5.61,-6.35
194012,-4.88,-5.62
194112,1.43,0.69
194212,-.21,-0.95
194312,-2.42,-3.16
194412,2.78,2.04
194512,-.5,-1.24
194612,3.09,2.35
194712,-.41,-1.15
194812,.77,0.03
194912,1.78,1.04
195012,1.89,1.15
195112,6.48,5.74
195212,-1.19,-1.93
195312,-1.16,-1.90
195412,-2.92,-3.66
195512,-5.21,-5.95
195612,-6.12,-6.86
195712,2.42,1.68
195812,2.05,1.31
195912,1.9,1.16
196012,-.78,-1.52
196112,1,0.26
196212,.09,-0.65
196312,-1.47,-2.21
196412,-2.45,-3.19
196512,3.44,2.70
196612,-.62,-1.36
196712,-.31,-1.05
196812,1.52,0.78
196912,-.18,-0.92
197012,.47,-0.27
197112,-.06,-0.80
197212,2.12,1.38
197312,5.61,4.87
197412,-1.78,-2.52
197512,-1.4,-2.14
197612,-2.9,-3.64
197712,1.98,1.24
197812,1.38,0.64
197912,3.42,2.68
198012,-2.42,-3.16
198112,.74,0.00
198212,4.28,3.54
198312,3.77,3.03
198412,3.88,3.14
198512,2.14,1.40
198612,3.52,2.78
198712,2.92,2.18
198812,-1.59,-2.33
198912,-3.9,-4.64
199012,-2.92,-3.66
199112,.68,-0.06
199212,2.79,2.05
199312,7.47,6.73
199412,3.8,3.06
199512,2.86,2.12
199612,3.41,2.67
199712,2.76,2.02
199812,3.85,3.11
199912,-1.4,-2.14
200012,.64,-0.10
200112,-.41,-1.15
200212,-3.4,-4.14
200312,-3.06,-3.80
200412,-.47,-1.21
200512,-.88,-1.62
200612,1.45,0.71
200712,2.97,2.23
200812,5.06,4.32
200912,6.19,5.45
201012,4.65,3.91
201112,-.13,-0.87
201212,-5.57,-6.31
201312,-1.63,-2.37
201412,2.44,1.70
201512,4.33,3.59
