Washington, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,.83,0.98
189612,1.75,1.90
189712,3.08,3.23
189812,-1.43,-1.28
189912,2.38,2.53
190012,2,2.15
190112,-1.03,-0.88
190212,2.51,2.66
190312,1.51,1.66
190412,-1.72,-1.57
190512,-1.02,-0.87
190612,2.42,2.57
190712,-.71,-0.56
190812,-1.58,-1.43
190912,-.73,-0.58
191012,-.52,-0.37
191112,-1.04,-0.89
191212,1.39,1.54
191312,-1.33,-1.18
191412,-1.55,-1.40
191512,1.32,1.47
191612,-1.48,-1.33
191712,2.64,2.79
191812,0,0.15
191912,-1.93,-1.78
192012,2.81,2.96
192112,-.4,-0.25
192212,.39,0.54
192312,-1.1,-0.95
192412,-2.04,-1.89
192512,-3.72,-3.57
192612,.42,0.57
192712,-.87,-0.72
192812,-3.12,-2.97
192912,-4.52,-4.37
193012,-4.86,-4.71
193112,.5,0.65
193212,1,1.15
193312,4.22,4.37
193412,1.21,1.36
193512,-3.43,-3.28
193612,-2.53,-2.38
193712,2.88,3.03
193812,-3.06,-2.91
193912,-3.12,-2.97
194012,-2.14,-1.99
194112,.31,0.46
194212,.88,1.03
194312,-2.34,-2.19
194412,-4.02,-3.87
194512,.9,1.05
194612,-.07,0.08
194712,.89,1.04
194812,4.38,4.53
194912,.46,0.61
195012,2.66,2.81
195112,-.24,-0.09
195212,-.05,0.10
195312,1.37,1.52
195412,-.53,-0.38
195512,3.69,3.84
195612,-.9,-0.75
195712,.19,0.34
195812,.83,0.98
195912,1.86,2.01
196012,-1.09,-0.94
196112,-.86,-0.71
196212,-.66,-0.51
196312,.02,0.17
196412,1.47,1.62
196512,-2.11,-1.96
196612,.56,0.71
196712,.37,0.52
196812,2.45,2.60
196912,-1.74,-1.59
197012,.57,0.72
197112,1.81,1.96
197212,-.47,-0.32
197312,2.29,2.44
197412,.38,0.53
197512,2.27,2.42
197612,-3.58,-3.43
197712,2.23,2.38
197812,-2.04,-1.89
197912,.84,0.99
198012,.9,1.05
198112,2.26,2.41
198212,1.46,1.61
198312,2.67,2.82
198412,-.56,-0.41
198512,-2.49,-2.34
198612,-1.7,-1.55
198712,-3.35,-3.20
198812,-1.59,-1.44
198912,-2.44,-2.29
199012,1.78,1.93
199112,-1.74,-1.59
199212,-2.84,-2.69
199312,-2.38,-2.23
199412,1.26,1.41
199512,2.42,2.57
199612,3.98,4.13
199712,-1.25,-1.10
199812,2.17,2.32
199912,-.02,0.13
200012,-2.3,-2.15
200112,1.01,1.16
200212,.17,0.32
200312,-1.81,-1.66
200412,-1.89,-1.74
200512,.34,0.49
200612,2.08,2.23
200712,-.71,-0.56
200812,-1.56,-1.41
200912,-1.12,-0.97
201012,2.52,2.67
201112,-1.86,-1.71
201212,2.79,2.94
201312,-2.23,-2.08
201412,-.2,-0.05
201512,-.87,-0.72
