Oklahoma, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.21,0.96
189612,-2.95,-3.20
189712,-2.77,-3.02
189812,-.3,-0.55
189912,0,-0.25
190012,-.76,-1.01
190112,-3.83,-4.08
190212,2.03,1.78
190312,-1.44,-1.69
190412,-2,-2.25
190512,1.77,1.52
190612,3.41,3.16
190712,1.84,1.59
190812,-.36,-0.61
190912,-1.22,-1.47
191012,-4.46,-4.71
191112,-3.77,-4.02
191212,-2.55,-2.80
191312,2.53,2.28
191412,-2.03,-2.28
191512,3.89,3.64
191612,-1.93,-2.18
191712,-3.51,-3.76
191812,1.95,1.70
191912,1.97,1.72
192012,2.56,2.31
192112,-2.32,-2.57
192212,-1.87,-2.12
192312,3.87,3.62
192412,-1.96,-2.21
192512,-.5,-0.75
192612,3.31,3.06
192712,2.44,2.19
192812,2.44,2.19
192912,.13,-0.12
193012,.54,0.29
193112,.87,0.62
193212,1.13,0.88
193312,-1.92,-2.17
193412,-.5,-0.75
193512,-.04,-0.29
193612,-3.03,-3.28
193712,-2.19,-2.44
193812,-2.31,-2.56
193912,-3.67,-3.92
194012,1.07,0.82
194112,4.33,4.08
194212,3.49,3.24
194312,.38,0.13
194412,.43,0.18
194512,-1.01,-1.26
194612,1.51,1.26
194712,.14,-0.11
194812,-1.84,-2.09
194912,-.94,-1.19
195012,-1.46,-1.71
195112,-.55,-0.80
195212,-3.21,-3.46
195312,-2.18,-2.43
195412,-4.64,-4.89
195512,-3.7,-3.95
195612,-6.37,-6.62
195712,3.03,2.78
195812,-1.35,-1.60
195912,3.77,3.52
196012,2.72,2.47
196112,4.12,3.87
196212,-.19,-0.44
196312,-4.17,-4.42
196412,-.16,-0.41
196512,-1.43,-1.68
196612,-3.19,-3.44
196712,.57,0.32
196812,2.59,2.34
196912,-.48,-0.73
197012,-.61,-0.86
197112,2.25,2.00
197212,1.79,1.54
197312,4.83,4.58
197412,4.34,4.09
197512,-.6,-0.85
197612,-1.67,-1.92
197712,-2.2,-2.45
197812,.01,-0.24
197912,-.74,-0.99
198012,-3.05,-3.30
198112,1.34,1.09
198212,1.27,1.02
198312,.98,0.73
198412,2.63,2.38
198512,3.45,3.20
198612,3.89,3.64
198712,3.78,3.53
198812,.05,-0.20
198912,.92,0.67
199012,-.86,-1.11
199112,3.22,2.97
199212,5.28,5.03
199312,3.13,2.88
199412,2.25,2.00
199512,-1.08,-1.33
199612,3.28,3.03
199712,3.73,3.48
199812,1.75,1.50
199912,-1.18,-1.43
200012,2.19,1.94
200112,-2.06,-2.31
200212,1.17,0.92
200312,-1.31,-1.56
200412,2.77,2.52
200512,-2.54,-2.79
200612,.66,0.41
200712,2.6,2.35
200812,-.73,-0.98
200912,2.3,2.05
201012,-1.37,-1.62
201112,-3.11,-3.36
201212,-4.63,-4.88
201312,-.1,-0.35
201412,-.26,-0.51
201512,5.54,5.29
