Idaho, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.1,-2.07
189612,2.75,2.78
189712,1.53,1.56
189812,-2.55,-2.52
189912,.05,0.08
190012,.75,0.78
190112,-2.17,-2.14
190212,.72,0.75
190312,.95,0.98
190412,-2.9,-2.87
190512,-1.41,-1.38
190612,1.68,1.71
190712,-.81,-0.78
190812,1.95,1.98
190912,3.32,3.35
191012,.89,0.92
191112,1.25,1.28
191212,2.99,3.02
191312,3.12,3.15
191412,-1.88,-1.85
191512,1.09,1.12
191612,1.59,1.62
191712,-1.74,-1.71
191812,-1.94,-1.91
191912,-2.56,-2.53
192012,2.22,2.25
192112,.37,0.40
192212,-1.95,-1.92
192312,-.07,-0.04
192412,.82,0.85
192512,-.55,-0.52
192612,1.11,1.14
192712,3.96,3.99
192812,-3.03,-3.00
192912,-3.95,-3.92
193012,-1.85,-1.82
193112,-3.47,-3.44
193212,-.7,-0.67
193312,-1.52,-1.49
193412,-3.95,-3.92
193512,-4.99,-4.96
193612,-5.02,-4.99
193712,.66,0.69
193812,-.37,-0.34
193912,-4.32,-4.29
194012,-.11,-0.08
194112,3.28,3.31
194212,2.17,2.20
194312,-1.9,-1.87
194412,-1.22,-1.19
194512,2.16,2.19
194612,3.25,3.28
194712,.98,1.01
194812,2.25,2.28
194912,-2.12,-2.09
195012,1.58,1.61
195112,2.27,2.30
195212,-3.35,-3.32
195312,-2.37,-2.34
195412,-2.26,-2.23
195512,3.24,3.27
195612,-.68,-0.65
195712,.03,0.06
195812,.37,0.40
195912,-.79,-0.76
196012,-1.34,-1.31
196112,.96,0.99
196212,-.46,-0.43
196312,1.4,1.43
196412,4.66,4.69
196512,-1.49,-1.46
196612,-3.17,-3.14
196712,-.42,-0.39
196812,2.82,2.85
196912,-2.6,-2.57
197012,3.29,3.32
197112,2.96,2.99
197212,-.51,-0.48
197312,2.57,2.60
197412,-2.97,-2.94
197512,3.46,3.49
197612,-3.04,-3.01
197712,2.16,2.19
197812,-1.69,-1.66
197912,-2.9,-2.87
198012,-.18,-0.15
198112,2.2,2.23
198212,4.21,4.24
198312,5.83,5.86
198412,5.52,5.55
198512,1.56,1.59
198612,-1.67,-1.64
198712,-4.1,-4.07
198812,-3.21,-3.18
198912,-2.79,-2.76
199012,-1.44,-1.41
199112,-.65,-0.62
199212,-2.9,-2.87
199312,-1.74,-1.71
199412,.76,0.79
199512,4.44,4.47
199612,4.14,4.17
199712,1.61,1.64
199812,2.44,2.47
199912,-2,-1.97
200012,-2.77,-2.74
200112,-3.26,-3.23
200212,-3.63,-3.60
200312,-3.4,-3.37
200412,-.77,-0.74
200512,1.4,1.43
200612,-.57,-0.54
200712,-2.39,-2.36
200812,-1.98,-1.95
200912,-.99,-0.96
201012,2.81,2.84
201112,-1.04,-1.01
201212,.63,0.66
201312,-3.17,-3.14
201412,-1.22,-1.19
201512,-1.8,-1.77
