Oklahoma, Heating Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,0,0
189607,0,0
189707,0,0
189807,0,0
189907,0,0
190007,0,0
190107,0,0
190207,0,0
190307,0,0
190407,0,0
190507,0,0
190607,0,0
190707,0,0
190807,0,0
190907,0,0
191007,0,0
191107,0,0
191207,0,0
191307,0,0
191407,0,0
191507,0,0
191607,0,0
191707,0,0
191807,0,0
191907,0,0
192007,0,0
192107,0,0
192207,0,0
192307,0,0
192407,0,0
192507,0,0
192607,0,0
192707,0,0
192807,0,0
192907,0,0
193007,0,0
193107,0,0
193207,0,0
193307,0,0
193407,0,0
193507,0,0
193607,0,0
193707,0,0
193807,0,0
193907,0,0
194007,0,0
194107,0,0
194207,0,0
194307,0,0
194407,0,0
194507,0,0
194607,0,0
194707,0,0
194807,0,0
194907,0,0
195007,2,2
195107,0,0
195207,0,0
195307,0,0
195407,0,0
195507,0,0
195607,0,0
195707,0,0
195807,0,0
195907,0,0
196007,0,0
196107,0,0
196207,0,0
196307,0,0
196407,0,0
196507,0,0
196607,0,0
196707,0,0
196807,0,0
196907,0,0
197007,0,0
197107,0,0
197207,0,0
197307,0,0
197407,0,0
197507,0,0
197607,0,0
197707,0,0
197807,0,0
197907,0,0
198007,0,0
198107,0,0
198207,0,0
198307,0,0
198407,0,0
198507,0,0
198607,0,0
198707,0,0
198807,0,0
198907,0,0
199007,0,0
199107,0,0
199207,0,0
199307,0,0
199407,0,0
199507,0,0
199607,0,0
199707,0,0
199807,0,0
199907,0,0
200007,0,0
200107,0,0
200207,0,0
200307,0,0
200407,0,0
200507,0,0
200607,0,0
200707,0,0
200807,0,0
200907,0,0
201007,0,0
201107,0,0
201207,0,0
201307,0,0
201407,0,0
201507,0,0
