Oklahoma, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,0,-1
189606,0,-1
189706,0,-1
189806,0,-1
189906,0,-1
190006,0,-1
190106,0,-1
190206,1,0
190306,17,16
190406,1,0
190506,0,-1
190606,1,0
190706,1,0
190806,1,0
190906,0,-1
191006,0,-1
191106,0,-1
191206,4,3
191306,0,-1
191406,0,-1
191506,3,2
191606,2,1
191706,0,-1
191806,0,-1
191906,1,0
192006,2,1
192106,1,0
192206,0,-1
192306,0,-1
192406,0,-1
192506,0,-1
192606,0,-1
192706,0,-1
192806,4,3
192906,0,-1
193006,0,-1
193106,0,-1
193206,0,-1
193306,0,-1
193406,0,-1
193506,3,2
193606,0,-1
193706,0,-1
193806,0,-1
193906,0,-1
194006,0,-1
194106,1,0
194206,0,-1
194306,0,-1
194406,0,-1
194506,3,2
194606,0,-1
194706,0,-1
194806,0,-1
194906,0,-1
195006,0,-1
195106,2,1
195206,0,-1
195306,0,-1
195406,0,-1
195506,5,4
195606,0,-1
195706,1,0
195806,0,-1
195906,0,-1
196006,0,-1
196106,3,2
196206,1,0
196306,0,-1
196406,0,-1
196506,0,-1
196606,0,-1
196706,0,-1
196806,0,-1
196906,2,1
197006,0,-1
197106,0,-1
197206,0,-1
197306,0,-1
197406,4,3
197506,0,-1
197606,3,2
197706,0,-1
197806,0,-1
197906,1,0
198006,0,-1
198106,0,-1
198206,9,8
198306,7,6
198406,0,-1
198506,2,1
198606,0,-1
198706,0,-1
198806,0,-1
198906,7,6
199006,0,-1
199106,0,-1
199206,8,7
199306,0,-1
199406,0,-1
199506,6,5
199606,0,-1
199706,2,1
199806,0,-1
199906,2,1
200006,5,4
200106,0,-1
200206,0,-1
200306,6,5
200406,2,1
200506,0,-1
200606,0,-1
200706,1,0
200806,0,-1
200906,0,-1
201006,0,-1
201106,0,-1
201206,0,-1
201306,0,-1
201406,0,-1
201506,0,-1
