Florida, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,0,0
189609,0,0
189709,0,0
189809,0,0
189909,0,0
190009,0,0
190109,0,0
190209,0,0
190309,0,0
190409,0,0
190509,0,0
190609,0,0
190709,0,0
190809,0,0
190909,0,0
191009,0,0
191109,0,0
191209,0,0
191309,0,0
191409,0,0
191509,0,0
191609,0,0
191709,0,0
191809,0,0
191909,0,0
192009,0,0
192109,0,0
192209,0,0
192309,0,0
192409,0,0
192509,0,0
192609,0,0
192709,0,0
192809,0,0
192909,0,0
193009,0,0
193109,0,0
193209,0,0
193309,0,0
193409,0,0
193509,0,0
193609,0,0
193709,0,0
193809,0,0
193909,0,0
194009,0,0
194109,0,0
194209,0,0
194309,0,0
194409,0,0
194509,0,0
194609,0,0
194709,0,0
194809,0,0
194909,0,0
195009,0,0
195109,0,0
195209,0,0
195309,0,0
195409,0,0
195509,0,0
195609,0,0
195709,0,0
195809,0,0
195909,0,0
196009,0,0
196109,0,0
196209,0,0
196309,0,0
196409,0,0
196509,0,0
196609,0,0
196709,0,0
196809,0,0
196909,0,0
197009,0,0
197109,0,0
197209,0,0
197309,0,0
197409,0,0
197509,0,0
197609,0,0
197709,0,0
197809,0,0
197909,0,0
198009,0,0
198109,0,0
198209,0,0
198309,0,0
198409,0,0
198509,0,0
198609,0,0
198709,0,0
198809,0,0
198909,0,0
199009,0,0
199109,0,0
199209,0,0
199309,0,0
199409,0,0
199509,0,0
199609,0,0
199709,0,0
199809,0,0
199909,0,0
200009,0,0
200109,0,0
200209,0,0
200309,0,0
200409,0,0
200509,0,0
200609,0,0
200709,0,0
200809,0,0
200909,0,0
201009,0,0
201109,0,0
201209,0,0
201309,0,0
201409,0,0
201509,0,0
