Georgia, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,0,-1
189606,0,-1
189706,0,-1
189806,0,-1
189906,0,-1
190006,3,2
190106,0,-1
190206,0,-1
190306,6,5
190406,0,-1
190506,0,-1
190606,0,-1
190706,0,-1
190806,0,-1
190906,0,-1
191006,3,2
191106,0,-1
191206,3,2
191306,0,-1
191406,0,-1
191506,0,-1
191606,0,-1
191706,0,-1
191806,0,-1
191906,0,-1
192006,0,-1
192106,0,-1
192206,0,-1
192306,0,-1
192406,0,-1
192506,0,-1
192606,0,-1
192706,0,-1
192806,2,1
192906,0,-1
193006,0,-1
193106,0,-1
193206,0,-1
193306,0,-1
193406,0,-1
193506,0,-1
193606,0,-1
193706,0,-1
193806,3,2
193906,0,-1
194006,0,-1
194106,0,-1
194206,0,-1
194306,0,-1
194406,0,-1
194506,0,-1
194606,0,-1
194706,0,-1
194806,0,-1
194906,0,-1
195006,0,-1
195106,0,-1
195206,0,-1
195306,0,-1
195406,0,-1
195506,8,7
195606,0,-1
195706,0,-1
195806,0,-1
195906,0,-1
196006,0,-1
196106,5,4
196206,0,-1
196306,3,2
196406,0,-1
196506,4,3
196606,4,3
196706,5,4
196806,2,1
196906,0,-1
197006,3,2
197106,0,-1
197206,8,7
197306,0,-1
197406,9,8
197506,3,2
197606,5,4
197706,0,-1
197806,0,-1
197906,4,3
198006,0,-1
198106,0,-1
198206,2,1
198306,5,4
198406,0,-1
198506,0,-1
198606,0,-1
198706,0,-1
198806,0,-1
198906,2,1
199006,0,-1
199106,0,-1
199206,6,5
199306,0,-1
199406,0,-1
199506,4,3
199606,0,-1
199706,8,7
199806,0,-1
199906,2,1
200006,0,-1
200106,3,2
200206,0,-1
200306,4,3
200406,0,-1
200506,2,1
200606,0,-1
200706,0,-1
200806,0,-1
200906,0,-1
201006,0,-1
201106,0,-1
201206,2,1
201306,0,-1
201406,0,-1
201506,0,-1
