Tennessee, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,778,-19
189612,778,-19
189712,761,-36
189812,885,88
189912,870,73
190012,771,-26
190112,957,160
190212,824,27
190312,976,179
190412,809,12
190512,850,53
190612,722,-75
190712,770,-27
190812,712,-85
190912,1002,205
191012,963,166
191112,677,-120
191212,810,13
191312,746,-51
191412,933,136
191512,802,5
191612,846,49
191712,1083,286
191812,618,-179
191912,824,27
192012,781,-16
192112,672,-125
192212,630,-167
192312,559,-238
192412,834,37
192512,866,69
192612,772,-25
192712,824,27
192812,773,-24
192912,792,-5
193012,904,107
193112,546,-251
193212,782,-15
193312,564,-233
193412,851,54
193512,1032,235
193612,704,-93
193712,848,51
193812,815,18
193912,759,-38
194012,654,-143
194112,695,-102
194212,827,30
194312,854,57
194412,936,139
194512,979,182
194612,670,-127
194712,789,-8
194812,719,-78
194912,706,-91
195012,971,174
195112,717,-80
195212,779,-18
195312,842,45
195412,831,34
195512,846,49
195612,540,-257
195712,687,-110
195812,932,135
195912,733,-64
196012,973,176
196112,787,-10
196212,931,134
196312,1113,316
196412,741,-56
196512,730,-67
196612,819,22
196712,682,-115
196812,883,86
196912,905,108
197012,687,-110
197112,550,-247
197212,736,-61
197312,782,-15
197412,781,-16
197512,784,-13
197612,914,117
197712,854,57
197812,779,-18
197912,775,-22
198012,802,5
198112,885,88
198212,598,-199
198312,991,194
198412,533,-264
198512,962,165
198612,796,-1
198712,693,-104
198812,788,-9
198912,1099,302
199012,677,-120
199112,678,-119
199212,798,1
199312,798,1
199412,658,-139
199512,856,59
199612,691,-106
199712,806,9
199812,670,-127
199912,728,-69
200012,1061,264
200112,636,-161
200212,788,-9
200312,809,12
200412,813,16
200512,884,87
200612,669,-128
200712,635,-162
200812,758,-39
200912,840,43
201012,997,200
201112,685,-112
201212,607,-190
201312,760,-37
201412,686,-111
201512,445,-352
