Oklahoma, Heating Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,0,-1
189608,0,-1
189708,0,-1
189808,0,-1
189908,0,-1
190008,0,-1
190108,0,-1
190208,0,-1
190308,0,-1
190408,2,1
190508,0,-1
190608,2,1
190708,0,-1
190808,0,-1
190908,0,-1
191008,0,-1
191108,0,-1
191208,0,-1
191308,0,-1
191408,0,-1
191508,12,11
191608,0,-1
191708,2,1
191808,0,-1
191908,0,-1
192008,6,5
192108,0,-1
192208,0,-1
192308,0,-1
192408,0,-1
192508,0,-1
192608,0,-1
192708,4,3
192808,0,-1
192908,0,-1
193008,0,-1
193108,2,1
193208,0,-1
193308,0,-1
193408,0,-1
193508,0,-1
193608,0,-1
193708,0,-1
193808,0,-1
193908,0,-1
194008,1,0
194108,0,-1
194208,0,-1
194308,0,-1
194408,0,-1
194508,0,-1
194608,0,-1
194708,0,-1
194808,0,-1
194908,2,1
195008,7,6
195108,0,-1
195208,0,-1
195308,0,-1
195408,0,-1
195508,0,-1
195608,0,-1
195708,0,-1
195808,0,-1
195908,0,-1
196008,0,-1
196108,2,1
196208,0,-1
196308,0,-1
196408,0,-1
196508,0,-1
196608,3,2
196708,3,2
196808,0,-1
196908,0,-1
197008,0,-1
197108,2,1
197208,0,-1
197308,0,-1
197408,2,1
197508,0,-1
197608,0,-1
197708,0,-1
197808,0,-1
197908,0,-1
198008,0,-1
198108,1,0
198208,0,-1
198308,0,-1
198408,0,-1
198508,0,-1
198608,2,1
198708,0,-1
198808,0,-1
198908,1,0
199008,0,-1
199108,0,-1
199208,10,9
199308,0,-1
199408,2,1
199508,0,-1
199608,0,-1
199708,2,1
199808,0,-1
199908,0,-1
200008,0,-1
200108,0,-1
200208,0,-1
200308,0,-1
200408,6,5
200508,0,-1
200608,0,-1
200708,0,-1
200808,0,-1
200908,2,1
201008,0,-1
201108,0,-1
201208,0,-1
201308,0,-1
201408,0,-1
201508,2,1
