Tennessee, Heating Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,387,163
189610,269,45
189710,135,-89
189810,253,29
189910,161,-63
190010,115,-109
190110,242,18
190210,199,-25
190310,234,10
190410,244,20
190510,220,-4
190610,264,40
190710,274,50
190810,278,54
190910,278,54
191010,170,-54
191110,143,-81
191210,187,-37
191310,269,45
191410,181,-43
191510,169,-55
191610,220,-4
191710,396,172
191810,138,-86
191910,67,-157
192010,186,-38
192110,268,44
192210,194,-30
192310,256,32
192410,188,-36
192510,291,67
192610,174,-50
192710,170,-54
192810,163,-61
192910,267,43
193010,289,65
193110,139,-85
193210,253,29
193310,213,-11
193410,187,-37
193510,190,-34
193610,200,-24
193710,286,62
193810,184,-40
193910,153,-71
194010,189,-35
194110,90,-134
194210,210,-14
194310,290,66
194410,248,24
194510,264,40
194610,211,-13
194710,105,-119
194810,298,74
194910,133,-91
195010,142,-82
195110,184,-40
195210,393,169
195310,175,-49
195410,193,-31
195510,248,24
195610,157,-67
195710,325,101
195810,254,30
195910,180,-44
196010,190,-34
196110,247,23
196210,175,-49
196310,141,-83
196410,320,96
196510,275,51
196610,316,92
196710,255,31
196810,237,13
196910,237,13
197010,203,-21
197110,108,-116
197210,265,41
197310,148,-76
197410,298,74
197510,194,-30
197610,382,158
197710,316,92
197810,292,68
197910,247,23
198010,300,76
198110,273,49
198210,223,-1
198310,189,-35
198410,103,-121
198510,134,-90
198610,197,-27
198710,389,165
198810,393,169
198910,229,5
199010,243,19
199110,200,-24
199210,275,51
199310,268,44
199410,217,-7
199510,228,4
199610,224,0
199710,243,19
199810,157,-67
199910,228,4
200010,168,-56
200110,278,54
200210,170,-54
200310,227,3
200410,134,-90
200510,203,-21
200610,286,62
200710,126,-98
200810,240,16
200910,282,58
201010,209,-15
201110,268,44
201210,268,44
201310,199,-25
201410,188,-36
201510,196,-28
