North Carolina, Cooling Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,0,-1
189612,0,-1
189712,0,-1
189812,0,-1
189912,0,-1
190012,0,-1
190112,0,-1
190212,0,-1
190312,0,-1
190412,0,-1
190512,0,-1
190612,0,-1
190712,0,-1
190812,1,0
190912,0,-1
191012,0,-1
191112,1,0
191212,1,0
191312,0,-1
191412,0,-1
191512,0,-1
191612,0,-1
191712,0,-1
191812,2,1
191912,0,-1
192012,0,-1
192112,1,0
192212,2,1
192312,5,4
192412,0,-1
192512,0,-1
192612,0,-1
192712,0,-1
192812,0,-1
192912,0,-1
193012,0,-1
193112,7,6
193212,2,1
193312,3,2
193412,0,-1
193512,0,-1
193612,0,-1
193712,0,-1
193812,0,-1
193912,0,-1
194012,2,1
194112,1,0
194212,0,-1
194312,0,-1
194412,0,-1
194512,0,-1
194612,2,1
194712,0,-1
194812,2,1
194912,1,0
195012,0,-1
195112,2,1
195212,0,-1
195312,0,-1
195412,0,-1
195512,0,-1
195612,10,9
195712,0,-1
195812,0,-1
195912,0,-1
196012,0,-1
196112,0,-1
196212,0,-1
196312,0,-1
196412,2,1
196512,0,-1
196612,0,-1
196712,2,1
196812,0,-1
196912,0,-1
197012,1,0
197112,10,9
197212,2,1
197312,0,-1
197412,0,-1
197512,0,-1
197612,0,-1
197712,0,-1
197812,0,-1
197912,0,-1
198012,0,-1
198112,0,-1
198212,3,2
198312,0,-1
198412,9,8
198512,0,-1
198612,0,-1
198712,0,-1
198812,0,-1
198912,0,-1
199012,4,3
199112,2,1
199212,0,-1
199312,0,-1
199412,3,2
199512,0,-1
199612,2,1
199712,0,-1
199812,4,3
199912,0,-1
200012,0,-1
200112,5,4
200212,0,-1
200312,0,-1
200412,0,-1
200512,0,-1
200612,4,3
200712,4,3
200812,3,2
200912,0,-1
201012,0,-1
201112,4,3
201212,4,3
201312,2,1
201412,1,0
201512,26,25
