Utah, Cooling Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,1,-1
189610,2,0
189710,1,-1
189810,1,-1
189910,1,-1
190010,1,-1
190110,3,1
190210,5,3
190310,1,-1
190410,1,-1
190510,0,-2
190610,1,-1
190710,2,0
190810,0,-2
190910,1,-1
191010,2,0
191110,1,-1
191210,1,-1
191310,1,-1
191410,2,0
191510,2,0
191610,0,-2
191710,2,0
191810,2,0
191910,0,-2
192010,1,-1
192110,4,2
192210,2,0
192310,1,-1
192410,1,-1
192510,1,-1
192610,2,0
192710,2,0
192810,2,0
192910,2,0
193010,1,-1
193110,2,0
193210,1,-1
193310,5,3
193410,2,0
193510,1,-1
193610,1,-1
193710,2,0
193810,2,0
193910,1,-1
194010,2,0
194110,0,-2
194210,2,0
194310,2,0
194410,3,1
194510,2,0
194610,0,-2
194710,2,0
194810,2,0
194910,1,-1
195010,8,6
195110,1,-1
195210,7,5
195310,1,-1
195410,2,0
195510,3,1
195610,2,0
195710,1,-1
195810,3,1
195910,2,0
196010,1,-1
196110,1,-1
196210,2,0
196310,8,6
196410,4,2
196510,3,1
196610,1,-1
196710,3,1
196810,1,-1
196910,0,-2
197010,1,-1
197110,0,-2
197210,1,-1
197310,1,-1
197410,2,0
197510,1,-1
197610,1,-1
197710,3,1
197810,4,2
197910,3,1
198010,2,0
198110,1,-1
198210,0,-2
198310,1,-1
198410,0,-2
198510,1,-1
198610,1,-1
198710,3,1
198810,11,9
198910,1,-1
199010,2,0
199110,3,1
199210,4,2
199310,1,-1
199410,1,-1
199510,2,0
199610,1,-1
199710,1,-1
199810,1,-1
199910,4,2
200010,1,-1
200110,4,2
200210,1,-1
200310,10,8
200410,1,-1
200510,2,0
200610,1,-1
200710,2,0
200810,2,0
200910,1,-1
201010,2,0
201110,2,0
201210,3,1
201310,1,-1
201410,4,2
201510,8,6
