North Dakota, Cooling Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,0,0
189610,0,0
189710,0,0
189810,0,0
189910,0,0
190010,0,0
190110,0,0
190210,0,0
190310,0,0
190410,0,0
190510,0,0
190610,0,0
190710,0,0
190810,0,0
190910,0,0
191010,0,0
191110,0,0
191210,0,0
191310,0,0
191410,0,0
191510,0,0
191610,0,0
191710,0,0
191810,0,0
191910,0,0
192010,0,0
192110,0,0
192210,0,0
192310,0,0
192410,0,0
192510,0,0
192610,0,0
192710,0,0
192810,0,0
192910,0,0
193010,0,0
193110,0,0
193210,0,0
193310,0,0
193410,0,0
193510,0,0
193610,0,0
193710,0,0
193810,0,0
193910,0,0
194010,0,0
194110,0,0
194210,0,0
194310,0,0
194410,0,0
194510,0,0
194610,0,0
194710,2,2
194810,0,0
194910,0,0
195010,0,0
195110,0,0
195210,0,0
195310,3,3
195410,0,0
195510,0,0
195610,0,0
195710,0,0
195810,0,0
195910,0,0
196010,0,0
196110,0,0
196210,0,0
196310,12,12
196410,0,0
196510,0,0
196610,0,0
196710,0,0
196810,0,0
196910,0,0
197010,0,0
197110,0,0
197210,0,0
197310,0,0
197410,0,0
197510,0,0
197610,0,0
197710,0,0
197810,0,0
197910,0,0
198010,0,0
198110,0,0
198210,0,0
198310,0,0
198410,0,0
198510,0,0
198610,0,0
198710,0,0
198810,0,0
198910,0,0
199010,0,0
199110,0,0
199210,0,0
199310,0,0
199410,0,0
199510,0,0
199610,0,0
199710,0,0
199810,0,0
199910,0,0
200010,0,0
200110,0,0
200210,0,0
200310,0,0
200410,0,0
200510,0,0
200610,0,0
200710,0,0
200810,0,0
200910,0,0
201010,0,0
201110,0,0
201210,0,0
201310,0,0
201410,0,0
201510,0,0
