Colorado, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,1,-1
189605,3,1
189705,9,7
189805,0,-2
189905,2,0
190005,2,0
190105,1,-1
190205,3,1
190305,0,-2
190405,1,-1
190505,0,-2
190605,1,-1
190705,0,-2
190805,0,-2
190905,0,-2
191005,0,-2
191105,3,1
191205,1,-1
191305,3,1
191405,2,0
191505,0,-2
191605,1,-1
191705,0,-2
191805,2,0
191905,1,-1
192005,1,-1
192105,2,0
192205,1,-1
192305,0,-2
192405,0,-2
192505,4,2
192605,2,0
192705,5,3
192805,1,-1
192905,0,-2
193005,0,-2
193105,0,-2
193205,3,1
193305,0,-2
193405,22,20
193505,0,-2
193605,4,2
193705,3,1
193805,0,-2
193905,6,4
194005,2,0
194105,3,1
194205,1,-1
194305,0,-2
194405,2,0
194505,2,0
194605,0,-2
194705,1,-1
194805,2,0
194905,2,0
195005,0,-2
195105,2,0
195205,1,-1
195305,0,-2
195405,1,-1
195505,2,0
195605,8,6
195705,0,-2
195805,9,7
195905,2,0
196005,1,-1
196105,2,0
196205,4,2
196305,9,7
196405,2,0
196505,2,0
196605,3,1
196705,0,-2
196805,0,-2
196905,2,0
197005,3,1
197105,0,-2
197205,1,-1
197305,0,-2
197405,9,7
197505,0,-2
197605,0,-2
197705,3,1
197805,0,-2
197905,0,-2
198005,0,-2
198105,0,-2
198205,0,-2
198305,0,-2
198405,2,0
198505,2,0
198605,1,-1
198705,2,0
198805,1,-1
198905,3,1
199005,0,-2
199105,3,1
199205,6,4
199305,1,-1
199405,9,7
199505,0,-2
199605,6,4
199705,1,-1
199805,8,6
199905,0,-2
200005,10,8
200105,2,0
200205,2,0
200305,3,1
200405,5,3
200505,2,0
200605,9,7
200705,2,0
200805,1,-1
200905,3,1
201005,0,-2
201105,0,-2
201205,7,5
201305,2,0
201405,2,0
201505,0,-2
