Virginia, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,312,43
189608,301,32
189708,262,-7
189808,337,68
189908,326,57
190008,431,162
190108,291,22
190208,228,-41
190308,246,-23
190408,228,-41
190508,246,-23
190608,342,73
190708,226,-43
190808,222,-47
190908,216,-53
191008,227,-42
191108,316,47
191208,239,-30
191308,241,-28
191408,294,25
191508,235,-34
191608,272,3
191708,250,-19
191808,328,59
191908,227,-42
192008,239,-30
192108,228,-41
192208,190,-79
192308,249,-20
192408,268,-1
192508,210,-59
192608,324,55
192708,143,-126
192808,308,39
192908,212,-57
193008,270,1
193108,262,-7
193208,313,44
193308,276,7
193408,259,-10
193508,282,13
193608,340,71
193708,319,50
193808,337,68
193908,310,41
194008,218,-51
194108,275,6
194208,247,-22
194308,329,60
194408,262,-7
194508,241,-28
194608,173,-96
194708,346,77
194808,247,-22
194908,284,15
195008,232,-37
195108,271,2
195208,271,2
195308,292,23
195408,283,14
195508,340,71
195608,259,-10
195708,232,-37
195808,253,-16
195908,356,87
196008,321,52
196108,279,10
196208,237,-32
196308,245,-24
196408,216,-53
196508,272,3
196608,266,-3
196708,218,-51
196808,326,57
196908,229,-40
197008,280,11
197108,229,-40
197208,238,-31
197308,302,33
197408,260,-9
197508,327,58
197608,214,-55
197708,334,65
197808,339,70
197908,276,7
198008,360,91
198108,204,-65
198208,201,-68
198308,352,83
198408,278,9
198508,242,-27
198608,222,-47
198708,331,62
198808,371,102
198908,251,-18
199008,264,-5
199108,307,38
199208,185,-84
199308,320,51
199408,221,-48
199508,354,85
199608,238,-31
199708,243,-26
199808,320,51
199908,323,54
200008,248,-21
200108,330,61
200208,358,89
200308,345,76
200408,241,-28
200508,366,97
200608,377,108
200708,391,122
200808,250,-19
200908,345,76
201008,359,90
201108,324,55
201208,307,38
201308,228,-41
201408,215,-54
201508,272,3
