Michigan, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,0,0
189604,0,0
189704,0,0
189804,0,0
189904,0,0
190004,0,0
190104,0,0
190204,0,0
190304,0,0
190404,0,0
190504,0,0
190604,0,0
190704,0,0
190804,0,0
190904,0,0
191004,0,0
191104,0,0
191204,0,0
191304,0,0
191404,0,0
191504,0,0
191604,0,0
191704,0,0
191804,0,0
191904,0,0
192004,0,0
192104,0,0
192204,0,0
192304,0,0
192404,0,0
192504,0,0
192604,0,0
192704,0,0
192804,0,0
192904,0,0
193004,0,0
193104,0,0
193204,0,0
193304,0,0
193404,0,0
193504,0,0
193604,0,0
193704,0,0
193804,0,0
193904,0,0
194004,0,0
194104,0,0
194204,0,0
194304,0,0
194404,0,0
194504,0,0
194604,0,0
194704,0,0
194804,0,0
194904,0,0
195004,0,0
195104,0,0
195204,0,0
195304,0,0
195404,0,0
195504,4,4
195604,0,0
195704,0,0
195804,0,0
195904,0,0
196004,0,0
196104,0,0
196204,0,0
196304,0,0
196404,0,0
196504,0,0
196604,0,0
196704,0,0
196804,0,0
196904,0,0
197004,0,0
197104,0,0
197204,0,0
197304,0,0
197404,0,0
197504,0,0
197604,0,0
197704,0,0
197804,0,0
197904,0,0
198004,0,0
198104,0,0
198204,0,0
198304,0,0
198404,0,0
198504,0,0
198604,0,0
198704,0,0
198804,0,0
198904,0,0
199004,0,0
199104,0,0
199204,0,0
199304,0,0
199404,0,0
199504,0,0
199604,0,0
199704,0,0
199804,0,0
199904,0,0
200004,0,0
200104,0,0
200204,0,0
200304,0,0
200404,0,0
200504,0,0
200604,0,0
200704,0,0
200804,0,0
200904,0,0
201004,1,1
201104,0,0
201204,0,0
201304,0,0
201404,0,0
201504,0,0
