Tennessee, Cooling Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,0,-1
189612,0,-1
189712,0,-1
189812,0,-1
189912,0,-1
190012,0,-1
190112,0,-1
190212,0,-1
190312,0,-1
190412,0,-1
190512,0,-1
190612,0,-1
190712,0,-1
190812,0,-1
190912,0,-1
191012,0,-1
191112,0,-1
191212,0,-1
191312,0,-1
191412,0,-1
191512,0,-1
191612,0,-1
191712,0,-1
191812,4,3
191912,0,-1
192012,0,-1
192112,0,-1
192212,0,-1
192312,6,5
192412,0,-1
192512,0,-1
192612,0,-1
192712,0,-1
192812,0,-1
192912,0,-1
193012,0,-1
193112,6,5
193212,0,-1
193312,6,5
193412,0,-1
193512,0,-1
193612,0,-1
193712,0,-1
193812,0,-1
193912,0,-1
194012,0,-1
194112,0,-1
194212,0,-1
194312,0,-1
194412,0,-1
194512,0,-1
194612,1,0
194712,0,-1
194812,0,-1
194912,0,-1
195012,0,-1
195112,0,-1
195212,0,-1
195312,0,-1
195412,0,-1
195512,0,-1
195612,8,7
195712,0,-1
195812,0,-1
195912,0,-1
196012,0,-1
196112,0,-1
196212,0,-1
196312,0,-1
196412,0,-1
196512,0,-1
196612,0,-1
196712,0,-1
196812,0,-1
196912,0,-1
197012,0,-1
197112,8,7
197212,0,-1
197312,0,-1
197412,0,-1
197512,0,-1
197612,0,-1
197712,0,-1
197812,0,-1
197912,0,-1
198012,0,-1
198112,0,-1
198212,4,3
198312,0,-1
198412,7,6
198512,0,-1
198612,0,-1
198712,0,-1
198812,0,-1
198912,0,-1
199012,0,-1
199112,0,-1
199212,0,-1
199312,0,-1
199412,0,-1
199512,0,-1
199612,0,-1
199712,0,-1
199812,0,-1
199912,0,-1
200012,0,-1
200112,0,-1
200212,0,-1
200312,0,-1
200412,0,-1
200512,0,-1
200612,0,-1
200712,0,-1
200812,0,-1
200912,0,-1
201012,0,-1
201112,0,-1
201212,4,3
201312,0,-1
201412,0,-1
201512,15,14
