North Carolina, Cooling Degree Days, November
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189511,0,-1
189611,7,6
189711,1,0
189811,0,-1
189911,0,-1
190011,2,1
190111,0,-1
190211,5,4
190311,0,-1
190411,0,-1
190511,0,-1
190611,0,-1
190711,0,-1
190811,1,0
190911,3,2
191011,0,-1
191111,0,-1
191211,0,-1
191311,0,-1
191411,0,-1
191511,1,0
191611,1,0
191711,0,-1
191811,0,-1
191911,1,0
192011,0,-1
192111,3,2
192211,0,-1
192311,0,-1
192411,0,-1
192511,0,-1
192611,0,-1
192711,3,2
192811,0,-1
192911,1,0
193011,0,-1
193111,7,6
193211,0,-1
193311,0,-1
193411,2,1
193511,2,1
193611,0,-1
193711,0,-1
193811,2,1
193911,0,-1
194011,0,-1
194111,1,0
194211,2,1
194311,0,-1
194411,0,-1
194511,2,1
194611,6,5
194711,0,-1
194811,6,5
194911,0,-1
195011,0,-1
195111,0,-1
195211,0,-1
195311,0,-1
195411,0,-1
195511,0,-1
195611,0,-1
195711,1,0
195811,3,2
195911,0,-1
196011,1,0
196111,3,2
196211,0,-1
196311,0,-1
196411,4,3
196511,1,0
196611,0,-1
196711,0,-1
196811,0,-1
196911,0,-1
197011,0,-1
197111,0,-1
197211,0,-1
197311,2,1
197411,0,-1
197511,3,2
197611,0,-1
197711,3,2
197811,5,4
197911,3,2
198011,0,-1
198111,0,-1
198211,3,2
198311,0,-1
198411,0,-1
198511,26,25
198611,4,3
198711,2,1
198811,2,1
198911,2,1
199011,2,1
199111,0,-1
199211,2,1
199311,1,0
199411,6,5
199511,0,-1
199611,0,-1
199711,0,-1
199811,2,1
199911,7,6
200011,0,-1
200111,8,7
200211,0,-1
200311,11,10
200411,3,2
200511,2,1
200611,2,1
200711,0,-1
200811,0,-1
200911,3,2
201011,0,-1
201111,3,2
201211,0,-1
201311,0,-1
201411,0,-1
201511,6,5
