Massachusetts, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,0,0
189603,0,0
189703,0,0
189803,0,0
189903,0,0
190003,0,0
190103,0,0
190203,0,0
190303,0,0
190403,0,0
190503,0,0
190603,0,0
190703,0,0
190803,0,0
190903,0,0
191003,0,0
191103,0,0
191203,0,0
191303,0,0
191403,0,0
191503,0,0
191603,0,0
191703,0,0
191803,0,0
191903,0,0
192003,0,0
192103,0,0
192203,0,0
192303,0,0
192403,0,0
192503,0,0
192603,0,0
192703,0,0
192803,0,0
192903,0,0
193003,0,0
193103,0,0
193203,0,0
193303,0,0
193403,0,0
193503,0,0
193603,0,0
193703,0,0
193803,0,0
193903,0,0
194003,0,0
194103,0,0
194203,0,0
194303,0,0
194403,0,0
194503,0,0
194603,0,0
194703,0,0
194803,0,0
194903,0,0
195003,0,0
195103,0,0
195203,0,0
195303,0,0
195403,0,0
195503,0,0
195603,0,0
195703,0,0
195803,0,0
195903,0,0
196003,0,0
196103,0,0
196203,0,0
196303,0,0
196403,0,0
196503,0,0
196603,0,0
196703,0,0
196803,0,0
196903,0,0
197003,0,0
197103,0,0
197203,0,0
197303,0,0
197403,0,0
197503,0,0
197603,0,0
197703,0,0
197803,0,0
197903,0,0
198003,0,0
198103,0,0
198203,0,0
198303,0,0
198403,0,0
198503,0,0
198603,0,0
198703,0,0
198803,0,0
198903,0,0
199003,0,0
199103,0,0
199203,0,0
199303,0,0
199403,0,0
199503,0,0
199603,0,0
199703,0,0
199803,0,0
199903,0,0
200003,0,0
200103,0,0
200203,0,0
200303,0,0
200403,0,0
200503,0,0
200603,0,0
200703,0,0
200803,0,0
200903,0,0
201003,0,0
201103,0,0
201203,0,0
201303,0,0
201403,0,0
201503,0,0
