Wisconsin, Cooling Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,0,0
189612,0,0
189712,0,0
189812,0,0
189912,0,0
190012,0,0
190112,0,0
190212,0,0
190312,0,0
190412,0,0
190512,0,0
190612,0,0
190712,0,0
190812,0,0
190912,0,0
191012,0,0
191112,0,0
191212,0,0
191312,0,0
191412,0,0
191512,0,0
191612,0,0
191712,0,0
191812,0,0
191912,0,0
192012,0,0
192112,0,0
192212,0,0
192312,0,0
192412,0,0
192512,0,0
192612,0,0
192712,0,0
192812,0,0
192912,0,0
193012,0,0
193112,0,0
193212,0,0
193312,0,0
193412,0,0
193512,0,0
193612,0,0
193712,0,0
193812,0,0
193912,0,0
194012,0,0
194112,0,0
194212,0,0
194312,0,0
194412,0,0
194512,0,0
194612,0,0
194712,0,0
194812,0,0
194912,0,0
195012,0,0
195112,0,0
195212,0,0
195312,0,0
195412,0,0
195512,0,0
195612,0,0
195712,0,0
195812,0,0
195912,0,0
196012,0,0
196112,0,0
196212,0,0
196312,0,0
196412,0,0
196512,0,0
196612,0,0
196712,0,0
196812,0,0
196912,0,0
197012,0,0
197112,0,0
197212,0,0
197312,0,0
197412,0,0
197512,0,0
197612,0,0
197712,0,0
197812,0,0
197912,0,0
198012,0,0
198112,0,0
198212,0,0
198312,0,0
198412,0,0
198512,0,0
198612,0,0
198712,0,0
198812,0,0
198912,0,0
199012,0,0
199112,0,0
199212,0,0
199312,0,0
199412,0,0
199512,0,0
199612,0,0
199712,0,0
199812,0,0
199912,0,0
200012,0,0
200112,0,0
200212,0,0
200312,0,0
200412,0,0
200512,0,0
200612,0,0
200712,0,0
200812,0,0
200912,0,0
201012,0,0
201112,0,0
201212,0,0
201312,0,0
201412,0,0
201512,0,0
