Maine, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,0,0
189605,0,0
189705,0,0
189805,0,0
189905,0,0
190005,0,0
190105,0,0
190205,0,0
190305,0,0
190405,0,0
190505,0,0
190605,0,0
190705,0,0
190805,0,0
190905,0,0
191005,0,0
191105,5,5
191205,0,0
191305,0,0
191405,0,0
191505,0,0
191605,0,0
191705,0,0
191805,3,3
191905,0,0
192005,0,0
192105,0,0
192205,0,0
192305,0,0
192405,0,0
192505,0,0
192605,0,0
192705,0,0
192805,0,0
192905,0,0
193005,0,0
193105,0,0
193205,0,0
193305,0,0
193405,0,0
193505,0,0
193605,0,0
193705,0,0
193805,0,0
193905,0,0
194005,0,0
194105,0,0
194205,0,0
194305,0,0
194405,3,3
194505,0,0
194605,0,0
194705,0,0
194805,0,0
194905,0,0
195005,0,0
195105,0,0
195205,0,0
195305,0,0
195405,0,0
195505,0,0
195605,0,0
195705,0,0
195805,0,0
195905,0,0
196005,4,4
196105,0,0
196205,0,0
196305,0,0
196405,0,0
196505,0,0
196605,0,0
196705,0,0
196805,0,0
196905,0,0
197005,0,0
197105,0,0
197205,0,0
197305,0,0
197405,0,0
197505,0,0
197605,0,0
197705,0,0
197805,0,0
197905,0,0
198005,0,0
198105,0,0
198205,0,0
198305,0,0
198405,0,0
198505,0,0
198605,0,0
198705,0,0
198805,0,0
198905,2,2
199005,0,0
199105,2,2
199205,0,0
199305,0,0
199405,0,0
199505,0,0
199605,0,0
199705,0,0
199805,5,5
199905,3,3
200005,0,0
200105,0,0
200205,0,0
200305,0,0
200405,0,0
200505,0,0
200605,0,0
200705,0,0
200805,0,0
200905,0,0
201005,3,3
201105,0,0
201205,0,0
201305,0,0
201405,0,0
201505,4,4
