Montana, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,4,-6
189609,1,-9
189709,16,6
189809,6,-4
189909,15,5
190009,4,-6
190109,1,-9
190209,4,-6
190309,3,-7
190409,10,0
190509,17,7
190609,16,6
190709,5,-5
190809,14,4
190909,12,2
191009,5,-5
191109,5,-5
191209,0,-10
191309,9,-1
191409,9,-1
191509,1,-9
191609,6,-4
191709,12,2
191809,7,-3
191909,10,0
192009,10,0
192109,2,-8
192209,22,12
192309,12,2
192409,7,-3
192509,6,-4
192609,0,-10
192709,5,-5
192809,6,-4
192909,1,-9
193009,9,-1
193109,12,2
193209,8,-2
193309,9,-1
193409,1,-9
193509,15,5
193609,11,1
193709,17,7
193809,39,29
193909,13,3
194009,32,22
194109,1,-9
194209,7,-3
194309,10,0
194409,10,0
194509,4,-6
194609,6,-4
194709,7,-3
194809,16,6
194909,6,-4
195009,5,-5
195109,1,-9
195209,20,10
195309,16,6
195409,7,-3
195509,6,-4
195609,10,0
195709,9,-1
195809,9,-1
195909,5,-5
196009,10,0
196109,0,-10
196209,6,-4
196309,34,24
196409,4,-6
196509,0,-10
196609,27,17
196709,29,19
196809,7,-3
196909,15,5
197009,4,-6
197109,4,-6
197209,3,-7
197309,6,-4
197409,4,-6
197509,6,-4
197609,15,5
197709,6,-4
197809,11,1
197909,25,15
198009,9,-1
198109,14,4
198209,5,-5
198309,5,-5
198409,1,-9
198509,1,-9
198609,1,-9
198709,16,6
198809,7,-3
198909,8,-2
199009,37,27
199109,12,2
199209,7,-3
199309,4,-6
199409,25,15
199509,9,-1
199609,6,-4
199709,22,12
199809,45,35
199909,4,-6
200009,9,-1
200109,27,17
200209,11,1
200309,10,0
200409,8,-2
200509,11,1
200609,11,1
200709,10,0
200809,7,-3
200909,38,28
201009,8,-2
201109,24,14
201209,25,15
201309,26,16
201409,11,1
201509,20,10
