Minnesota, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,0,0
189601,0,0
189701,0,0
189801,0,0
189901,0,0
190001,0,0
190101,0,0
190201,0,0
190301,0,0
190401,0,0
190501,0,0
190601,0,0
190701,0,0
190801,0,0
190901,0,0
191001,0,0
191101,0,0
191201,0,0
191301,0,0
191401,0,0
191501,0,0
191601,0,0
191701,0,0
191801,0,0
191901,0,0
192001,0,0
192101,0,0
192201,0,0
192301,0,0
192401,0,0
192501,0,0
192601,0,0
192701,0,0
192801,0,0
192901,0,0
193001,0,0
193101,0,0
193201,0,0
193301,0,0
193401,0,0
193501,0,0
193601,0,0
193701,0,0
193801,0,0
193901,0,0
194001,0,0
194101,0,0
194201,0,0
194301,0,0
194401,0,0
194501,0,0
194601,0,0
194701,0,0
194801,0,0
194901,0,0
195001,0,0
195101,0,0
195201,0,0
195301,0,0
195401,0,0
195501,0,0
195601,0,0
195701,0,0
195801,0,0
195901,0,0
196001,0,0
196101,0,0
196201,0,0
196301,0,0
196401,0,0
196501,0,0
196601,0,0
196701,0,0
196801,0,0
196901,0,0
197001,0,0
197101,0,0
197201,0,0
197301,0,0
197401,0,0
197501,0,0
197601,0,0
197701,0,0
197801,0,0
197901,0,0
198001,0,0
198101,0,0
198201,0,0
198301,0,0
198401,0,0
198501,0,0
198601,0,0
198701,0,0
198801,0,0
198901,0,0
199001,0,0
199101,0,0
199201,0,0
199301,0,0
199401,0,0
199501,0,0
199601,0,0
199701,0,0
199801,0,0
199901,0,0
200001,0,0
200101,0,0
200201,0,0
200301,0,0
200401,0,0
200501,0,0
200601,0,0
200701,0,0
200801,0,0
200901,0,0
201001,0,0
201101,0,0
201201,0,0
201301,0,0
201401,0,0
201501,0,0
