Delaware, Cooling Degree Days, November
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189511,0,0
189611,0,0
189711,0,0
189811,0,0
189911,0,0
190011,0,0
190111,0,0
190211,0,0
190311,0,0
190411,0,0
190511,0,0
190611,0,0
190711,0,0
190811,0,0
190911,0,0
191011,0,0
191111,0,0
191211,0,0
191311,0,0
191411,0,0
191511,0,0
191611,0,0
191711,0,0
191811,0,0
191911,0,0
192011,0,0
192111,0,0
192211,0,0
192311,0,0
192411,0,0
192511,0,0
192611,0,0
192711,0,0
192811,0,0
192911,0,0
193011,0,0
193111,0,0
193211,0,0
193311,0,0
193411,0,0
193511,0,0
193611,0,0
193711,0,0
193811,0,0
193911,0,0
194011,0,0
194111,0,0
194211,0,0
194311,0,0
194411,0,0
194511,0,0
194611,0,0
194711,0,0
194811,0,0
194911,0,0
195011,0,0
195111,0,0
195211,0,0
195311,0,0
195411,0,0
195511,0,0
195611,0,0
195711,0,0
195811,0,0
195911,0,0
196011,0,0
196111,0,0
196211,0,0
196311,0,0
196411,0,0
196511,0,0
196611,0,0
196711,0,0
196811,0,0
196911,0,0
197011,0,0
197111,0,0
197211,0,0
197311,0,0
197411,0,0
197511,0,0
197611,0,0
197711,0,0
197811,0,0
197911,0,0
198011,0,0
198111,0,0
198211,0,0
198311,0,0
198411,0,0
198511,0,0
198611,0,0
198711,0,0
198811,0,0
198911,0,0
199011,0,0
199111,0,0
199211,0,0
199311,0,0
199411,0,0
199511,0,0
199611,0,0
199711,0,0
199811,0,0
199911,0,0
200011,0,0
200111,0,0
200211,0,0
200311,0,0
200411,0,0
200511,0,0
200611,0,0
200711,0,0
200811,0,0
200911,0,0
201011,0,0
201111,0,0
201211,0,0
201311,0,0
201411,0,0
201511,0,0
