New York, Cooling Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,0,-1
189610,0,-1
189710,0,-1
189810,0,-1
189910,0,-1
190010,7,6
190110,0,-1
190210,0,-1
190310,0,-1
190410,0,-1
190510,0,-1
190610,0,-1
190710,0,-1
190810,0,-1
190910,0,-1
191010,0,-1
191110,0,-1
191210,0,-1
191310,2,1
191410,3,2
191510,0,-1
191610,0,-1
191710,0,-1
191810,0,-1
191910,3,2
192010,8,7
192110,0,-1
192210,0,-1
192310,0,-1
192410,0,-1
192510,0,-1
192610,0,-1
192710,2,1
192810,0,-1
192910,0,-1
193010,0,-1
193110,5,4
193210,0,-1
193310,0,-1
193410,0,-1
193510,0,-1
193610,0,-1
193710,0,-1
193810,2,1
193910,0,-1
194010,0,-1
194110,3,2
194210,0,-1
194310,0,-1
194410,0,-1
194510,0,-1
194610,5,4
194710,11,10
194810,0,-1
194910,9,8
195010,2,1
195110,0,-1
195210,0,-1
195310,2,1
195410,5,4
195510,3,2
195610,0,-1
195710,0,-1
195810,0,-1
195910,3,2
196010,0,-1
196110,3,2
196210,0,-1
196310,8,7
196410,0,-1
196510,0,-1
196610,0,-1
196710,0,-1
196810,3,2
196910,0,-1
197010,0,-1
197110,11,10
197210,0,-1
197310,2,1
197410,0,-1
197510,3,2
197610,0,-1
197710,0,-1
197810,0,-1
197910,0,-1
198010,0,-1
198110,0,-1
198210,0,-1
198310,0,-1
198410,4,3
198510,2,1
198610,0,-1
198710,0,-1
198810,0,-1
198910,0,-1
199010,7,6
199110,2,1
199210,0,-1
199310,0,-1
199410,0,-1
199510,5,4
199610,0,-1
199710,0,-1
199810,0,-1
199910,0,-1
200010,0,-1
200110,2,1
200210,0,-1
200310,0,-1
200410,0,-1
200510,3,2
200610,0,-1
200710,19,18
200810,0,-1
200910,0,-1
201010,2,1
201110,2,1
201210,4,3
201310,3,2
201410,4,3
201510,0,-1
